,2022,2021,2020,2019,2018,nuts4
Аврен,1237.0,1144.0,1030.0,1003.0,914.0,VAR01
Айтос,1118.0,1023.0,918.0,844.0,743.0,BGS01
Аксаково,1345.0,1346.0,1242.0,1082.0,1253.0,VAR02
Алфатар,922.0,880.0,755.0,675.0,653.0,SLS01
Антон,1199.0,1044.0,898.0,925.0,727.0,SFO54
Антоново,1142.0,1040.0,881.0,782.0,663.0,TGV02
Априлци,1157.0,1044.0,898.0,833.0,775.0,LOV02
Ардино,990.0,901.0,804.0,737.0,660.0,KRZ02
Асеновград,1138.0,1028.0,914.0,837.0,759.0,PDV01
Балчик,1390.0,1274.0,1115.0,1056.0,964.0,DOB03
Баните,957.0,851.0,792.0,649.0,630.0,SML02
Банско,1145.0,1022.0,912.0,814.0,741.0,BLG01
Батак,1430.0,1147.0,1016.0,921.0,885.0,PAZ03
Белене,1164.0,1112.0,973.0,862.0,764.0,PVN03
Белица,983.0,923.0,782.0,750.0,702.0,BLG02
Белово,1283.0,1208.0,1130.0,1047.0,919.0,PAZ04
Белоградчик,1194.0,1051.0,896.0,786.0,753.0,VID01
Белослав,1689.0,1514.0,1492.0,1307.0,1172.0,VAR04
Берковица,1268.0,1070.0,972.0,859.0,745.0,MON02
Благоевград,1392.0,1214.0,1044.0,930.0,875.0,BLG03
Бобов дол,1489.0,1274.0,1133.0,1101.0,956.0,KNL04
Бобошево,970.0,844.0,771.0,702.0,622.0,KNL05
Божурище,1925.0,1717.0,1540.0,1398.0,1313.0,SFO06
Бойница,1051.0,886.0,793.0,739.0,635.0,VID03
Бойчиновци,1170.0,1046.0,909.0,846.0,714.0,MON04
Болярово,1052.0,933.0,815.0,751.0,676.0,JAM03
Борино,1016.0,898.0,798.0,712.0,675.0,SML05
Борован,1027.0,907.0,803.0,754.0,691.0,VRC05
Борово,1194.0,1053.0,947.0,909.0,804.0,RSE03
Ботевград,1555.0,1417.0,1250.0,1232.0,1175.0,SFO07
Братя Даскалови,1297.0,1163.0,936.0,827.0,728.0,SZR04
Брацигово,1010.0,897.0,785.0,722.0,615.0,PAZ06
Брегово,1472.0,1253.0,1100.0,933.0,771.0,VID06
Брезник,1427.0,1264.0,1079.0,783.0,686.0,PER08
Брезово,1443.0,1343.0,1275.0,1119.0,1002.0,PDV07
Брусарци,1028.0,912.0,820.0,771.0,673.0,MON07
Бургас,1482.0,1360.0,1234.0,1130.0,1044.0,BGS04
Бяла (Варна),1183.0,1052.0,1001.0,922.0,833.0,VAR05
Бяла (Русе),1387.0,1257.0,1054.0,973.0,846.0,RSE04
Бяла Слатина,1136.0,1047.0,939.0,835.0,732.0,VRC08
Варна,1642.0,1443.0,1275.0,1194.0,1075.0,VAR06
Велики Преслав,1123.0,994.0,926.0,839.0,730.0,SHU23
Велико Търново,1410.0,1298.0,1149.0,1006.0,916.0,VTR04
Велинград,1121.0,1032.0,895.0,784.0,715.0,PAZ08
Венец,1192.0,1021.0,921.0,864.0,808.0,SHU07
Ветово,1449.0,1329.0,1204.0,1097.0,1006.0,RSE05
Ветрино,995.0,934.0,853.0,795.0,735.0,VAR08
Видин,1225.0,1084.0,948.0,868.0,768.0,VID09
Враца,1306.0,1207.0,1051.0,923.0,827.0,VRC10
Вълчедръм,1526.0,1434.0,1254.0,1047.0,971.0,MON11
Вълчи дол,1408.0,1199.0,1115.0,981.0,871.0,VAR09
Върбица,1020.0,940.0,833.0,744.0,666.0,SHU10
Вършец,1063.0,978.0,826.0,788.0,712.0,MON12
Габрово,1346.0,1234.0,1086.0,987.0,900.0,GAB05
Генерал Тошево,1242.0,1088.0,1004.0,890.0,827.0,DOB12
Георги Дамяново,1060.0,894.0,776.0,753.0,717.0,MON14
Главиница,1200.0,1058.0,963.0,876.0,796.0,SLS07
Годеч,1375.0,1189.0,1042.0,1087.0,1005.0,SFO09
Горна Малина,1215.0,1129.0,1015.0,929.0,827.0,SFO10
Горна Оряховица,1334.0,1187.0,1087.0,985.0,872.0,VTR06
Гоце Делчев,1042.0,920.0,857.0,783.0,706.0,BLG11
Грамада,1079.0,881.0,781.0,757.0,660.0,VID15
Гулянци,1205.0,1058.0,927.0,825.0,753.0,PVN08
Гурково,1328.0,1274.0,1110.0,1027.0,941.0,SZR37
Гълъбово,2260.0,1985.0,1830.0,1732.0,1674.0,SZR07
Гърмен,1028.0,886.0,794.0,738.0,669.0,BLG13
Две могили,1196.0,1101.0,1002.0,884.0,770.0,RSE08
Девин,1404.0,1217.0,1173.0,1092.0,975.0,SML09
Девня,2156.0,1947.0,1745.0,1614.0,1561.0,VAR14
Джебел,1480.0,1295.0,1030.0,945.0,867.0,KRZ08
