,2023,2022,nuts4
Аврен,1.94,2.94,VAR01
Айтос,0.12,0.06,BGS01
Аксаково,0.11,0.2,VAR02
Алфатар,6.46,6.36,SLS01
Антон,0.65,0.13,SFO54
Антоново,6.84,7.51,TGV02
Априлци,0.82,0.85,LOV02
Ардино,9.56,7.04,KRZ02
Асеновград,0.98,0.79,PDV01
Балчик,0.26,0.12,DOB03
Баните,5.03,2.92,SML02
Банско,1.21,1.24,BLG01
Батак,3.37,3.09,PAZ03
Белене,2.88,1.86,PVN03
Белица,15.24,16.94,BLG02
Белово,2.87,2.46,PAZ04
Белоградчик,9.05,6.48,VID01
Белослав,0.02,0.0,VAR04
Берковица,2.03,1.35,MON02
Благоевград,0.59,0.57,BLG03
Бобов дол,0.67,0.37,KNL04
Бобошево,0.25,0.65,KNL05
Божурище,0.11,0.17,SFO06
Бойница,5.66,3.12,VID03
Бойчиновци,11.87,12.82,MON04
Болярово,7.08,6.13,JAM03
Борино,9.48,6.75,SML05
Борован,12.26,16.01,VRC05
Борово,9.03,9.13,RSE03
Ботевград,0.83,0.66,SFO07
Братя Даскалови,9.64,10.63,SZR04
Брацигово,0.59,0.5,PAZ06
Брегово,13.06,9.5,VID06
Брезник,2.45,1.98,PER08
Брезово,4.6,3.24,PDV07
Брусарци,13.06,9.58,MON07
Бургас,0.04,0.04,BGS04
Бяла (Варна),0.22,0.11,VAR05
Бяла (Русе),5.39,4.97,RSE04
Бяла Слатина,7.54,8.08,VRC08
Варна,0.02,0.02,VAR06
Велики Преслав,1.3,1.41,SHU23
Велико Търново,0.09,0.07,VTR04
Велинград,6.57,6.14,PAZ08
Венец,17.45,13.26,SHU07
Ветово,11.29,10.44,RSE05
Ветрино,1.4,1.14,VAR08
Видин,1.8,1.58,VID09
Враца,0.44,0.3,VRC10
Вълчедръм,15.29,16.16,MON11
Вълчи дол,5.79,6.15,VAR09
Върбица,9.75,5.94,SHU10
Вършец,7.49,5.47,MON12
Габрово,0.15,0.11,GAB05
Генерал Тошево,1.1,1.56,DOB12
Георги Дамяново,5.2,4.16,MON14
Главиница,12.78,10.65,SLS07
Годеч,2.79,2.66,SFO09
Горна Малина,0.37,0.55,SFO10
Горна Оряховица,0.66,0.46,VTR06
Гоце Делчев,0.51,0.56,BLG11
Грамада,12.66,11.19,VID15
Гулянци,4.74,5.24,PVN08
Гурково,2.22,2.21,SZR37
Гълъбово,1.64,1.06,SZR07
Гърмен,1.22,1.59,BLG13
Две могили,8.55,6.06,RSE08
Девин,4.34,3.36,SML09
Девня,0.26,0.13,VAR14
Джебел,1.12,1.22,KRZ08
Димитровград,0.69,0.48,HKV09
Димово,32.66,22.09,VID16
Добрич,0.01,0.01,DOB28
Добрич-селска,0.0,0.0,DOB15
Долна Митрополия,1.12,1.15,PVN10
Долна баня,0.54,1.06,SFO59
Долни Дъбник,0.89,0.64,PVN11
Долни чифлик,0.54,0.56,VAR13
Доспат,4.97,3.86,SML10
Драгоман,0.34,0.28,SFO16
Дряново,1.22,0.7,GAB12
Дулово,4.16,3.87,SLS10
Дупница,0.31,0.16,KNL48
Дългопол,4.11,5.02,VAR16
Елена,0.89,0.89,VTR13
Елин Пелин,0.25,0.24,SFO17
Елхово,6.49,5.07,JAM07
Етрополе,1.23,1.34,SFO18
