,2022,2021,2020,nuts4
Аврен,9.2,10.4,13.3,VAR01
Айтос,5.9,5.6,7.6,BGS01
Аксаково,2.8,5.3,5.3,VAR02
Алфатар,18.4,19.0,23.5,SLS01
Антон,4.1,6.3,5.2,SFO54
Антоново,22.2,19.8,30.0,TGV02
Априлци,4.9,6.5,8.0,LOV02
Ардино,20.5,16.5,17.5,KRZ02
Асеновград,5.7,6.0,7.4,PDV01
Балчик,3.9,4.2,6.3,DOB03
Баните,14.1,9.8,11.6,SML02
Банско,6.7,8.5,12.7,BLG01
Батак,12.0,12.9,13.9,PAZ03
Белене,8.9,9.6,7.5,PVN03
Белица,34.9,33.4,38.4,BLG02
Белово,9.5,8.1,9.3,PAZ04
Белоградчик,19.4,15.6,18.5,VID01
Белослав,2.1,3.3,4.9,VAR04
Берковица,10.1,7.4,10.8,MON02
Благоевград,4.6,4.9,6.6,BLG03
Бобов дол,6.9,6.5,6.9,KNL04
Бобошево,7.2,8.0,10.4,KNL05
Божурище,1.8,3.4,3.3,SFO06
Бойница,17.9,13.4,14.2,VID03
Бойчиновци,24.3,24.3,26.6,MON04
Болярово,16.0,15.1,16.0,JAM03
Борино,22.0,20.3,18.3,SML05
Борован,29.3,37.6,42.1,VRC05
Борово,18.4,19.7,24.3,RSE03
Ботевград,5.2,6.7,6.3,SFO07
Братя Даскалови,21.9,24.7,30.6,SZR04
Брацигово,11.3,10.4,10.7,PAZ06
Брегово,26.2,20.4,26.4,VID06
Брезник,8.7,9.5,10.3,PER08
Брезово,14.5,18.5,19.0,PDV07
Брусарци,24.0,20.3,25.3,MON07
Бургас,2.5,3.7,4.8,BGS04
Бяла (Варна),5.4,13.9,10.0,VAR05
Бяла (Русе),13.1,8.2,15.5,RSE04
Бяла Слатина,19.5,20.0,24.5,VRC08
Варна,2.1,3.0,4.1,VAR06
Велики Преслав,7.6,7.0,9.0,SHU23
Велико Търново,3.1,4.4,4.9,VTR04
Велинград,14.2,16.5,20.4,PAZ08
Венец,32.6,33.3,36.1,SHU07
Ветово,21.3,20.8,25.4,RSE05
Ветрино,6.7,9.9,12.2,VAR08
Видин,7.1,6.0,9.0,VID09
Враца,4.6,6.7,6.3,VRC10
Вълчедръм,30.1,32.5,37.9,MON11
Вълчи дол,16.0,18.1,20.8,VAR09
Върбица,20.9,18.2,22.6,SHU10
Вършец,15.7,13.2,17.5,MON12
Габрово,3.9,4.4,5.5,GAB05
Генерал Тошево,13.3,12.0,13.5,DOB12
Георги Дамяново,18.4,14.5,14.3,MON14
Главиница,26.8,21.3,25.9,SLS07
Годеч,6.9,7.3,10.6,SFO09
Горна Малина,2.8,5.0,5.8,SFO10
Горна Оряховица,4.9,4.7,6.1,VTR06
Гоце Делчев,11.1,10.5,8.6,BLG11
Грамада,28.3,27.6,28.4,VID15
Гулянци,13.4,14.1,17.8,PVN08
Гурково,11.8,13.3,18.9,SZR37
Гълъбово,5.0,4.7,5.8,SZR07
Гърмен,17.6,13.1,14.6,BLG13
Две могили,16.1,12.7,16.1,RSE08
Девин,14.5,12.6,15.1,SML09
Девня,7.0,6.2,6.3,VAR14
Джебел,16.2,14.0,18.3,KRZ08
Димитровград,5.1,7.8,6.3,HKV09
Димово,58.0,36.5,42.3,VID16
Добрич,2.9,3.4,4.9,DOB28
Добрич-селска,3.0,4.4,5.4,DOB15
Долна Митрополия,20.0,8.4,13.3,PVN10
Долна баня,5.4,15.5,18.5,SFO59
Долни Дъбник,6.4,7.5,10.5,PVN11
Долни чифлик,7.2,10.8,14.9,VAR13
Доспат,14.9,11.6,16.6,SML10
Драгоман,3.7,3.3,5.1,SFO16
Дряново,6.3,6.0,6.1,GAB12
Дулово,10.6,10.2,13.9,SLS10
Дупница,6.4,7.6,7.3,KNL48
Дългопол,11.9,17.5,20.8,VAR16
Елена,10.0,8.6,11.6,VTR13
Елин Пелин,2.4,4.3,4.9,SFO17
Елхово,14.1,11.1,13.6,JAM07
Етрополе,5.6,5.5,6.9,SFO18
Завет,9.9,11.5,14.5,RAZ11
Земен,8.5,8.5,8.1,PER19
Златарица,16.8,18.3,19.3,VTR14
Златица,3.3,3.6,4.8,SFO47
Златоград,10.0,8.6,9.3,SML11
Ивайловград,18.9,13.1,17.4,HKV11
Иваново,5.0,4.9,8.2,RSE13
Искър,9.5,10.8,16.9,PVN23
Исперих,10.9,10.2,13.0,RAZ14
Ихтиман,5.5,7.0,10.2,SFO20
Каварна,4.2,5.1,8.3,DOB17
Казанлък,3.2,3.7,5.7,SZR12
Кайнарджа,36.9,32.3,38.3,SLS15
Калояново,3.7,5.3,7.4,PDV12
Камено,3.8,4.4,6.6,BGS08
Каолиново,38.4,41.7,45.1,SHU18
Карлово,7.8,8.4,10.8,PDV13
Карнобат,5.7,5.4,7.0,BGS09
Каспичан,9.5,10.4,13.4,SHU19
Кирково,11.8,9.1,12.6,KRZ14
Кнежа,8.8,10.5,13.7,PVN39
Ковачевци,8.4,11.1,12.8,PER22
Козлодуй,9.3,8.1,9.9,VRC20
Копривщица,4.4,5.7,7.2,SFO24
Костенец,4.7,4.9,7.7,SFO25
Костинброд,3.4,4.0,5.8,SFO26
Котел,29.0,32.9,34.8,SLV11
Кочериново,6.3,7.2,7.2,KNL27
Кресна,11.2,10.3,11.3,BLG28
Криводол,22.1,27.8,28.1,VRC21
Кричим,11.3,10.7,10.9,PDV39
Крумовград,13.6,10.0,11.6,KRZ15
Крушари,11.8,12.0,15.9,DOB20
Кубрат,12.7,12.0,15.4,RAZ16
Куклен,4.2,5.5,7.3,PDV42
Кула,23.0,20.2,21.6,VID22
Кърджали,5.0,4.8,6.2,KRZ16
Кюстендил,9.5,8.9,11.0,KNL29
Левски,9.2,8.4,11.6,PVN16
Лесичово,9.3,18.2,18.2,PAZ14
Летница,8.8,15.1,22.0,LOV17
Ловеч,5.9,4.6,7.3,LOV18
Лозница,15.8,12.0,14.6,RAZ17
Лом,10.5,8.7,10.0,MON24
Луковит,19.2,17.1,20.7,LOV19
Лъки,3.7,3.7,4.6,PDV15
Любимец,6.9,6.7,9.3,HKV17
Лясковец,5.5,4.1,5.4,VTR20
Мадан,8.7,8.4,9.5,SML16
Маджарово,14.5,14.4,20.7,HKV18
Макреш,71.3,34.6,31.7,VID25
Малко Търново,11.3,8.7,9.1,BGS12
Марица,3.1,4.0,6.2,PDV17
Медковец,23.0,27.2,32.3,MON26
Мездра,4.9,5.0,7.0,VRC27
Мизия,18.9,16.5,19.4,VRC28
Минерални бани,6.3,6.6,10.4,HKV19
Мирково,6.2,6.1,6.9,SFO56
Момчилград,10.6,7.7,8.6,KRZ21
Монтана,4.4,4.5,6.6,MON29
Мъглиж,7.2,10.9,12.6,SZR22
Невестино,9.8,9.5,13.2,KNL31
Неделино,22.4,14.8,15.4,SML18
Несебър,3.9,5.4,7.6,BGS15
Никола Козлево,28.6,30.5,37.6,SHU21
Николаево,24.9,31.6,38.1,SZR38
Никопол,23.3,23.5,25.7,PVN21
Нова Загора,5.4,4.6,6.7,SLV16
Нови пазар,6.0,6.3,8.8,SHU22
Ново село,10.9,12.0,14.3,VID30
Омуртаг,13.6,12.5,17.0,TGV22
Опака,18.3,16.1,25.5,TGV23
Опан,5.4,7.3,9.5,SZR23
Оряхово,21.4,20.8,21.3,VRC31
Павел баня,2.8,3.8,7.4,SZR24
Павликени,8.4,7.4,8.8,VTR22
Пазарджик,3.2,3.3,4.7,PAZ19
Панагюрище,5.4,5.2,6.8,PAZ20
Перник,3.2,3.5,4.8,PER32
Перущица,6.8,6.8,10.0,PDV40
Петрич,7.4,7.6,10.3,BLG33
Пещера,6.2,5.2,8.2,PAZ21
Пирдоп,3.6,3.8,5.1,SFO55
Плевен,5.2,5.5,6.7,PVN24
Пловдив,2.5,2.8,4.2,PDV22
Полски Тръмбеш,11.4,10.2,12.4,VTR26
Поморие,3.9,4.7,7.9,BGS17
Попово,10.4,9.5,11.3,TGV24
Пордим,17.1,14.9,18.1,PVN27
Правец,10.9,10.8,16.1,SFO34
Приморско,3.9,4.7,6.2,BGS27
Провадия,7.7,7.4,10.4,VAR24
Първомай,6.5,7.5,9.5,PDV23
Раднево,4.8,5.0,6.9,SZR27
Радомир,5.5,6.2,6.7,PER36
Разград,4.6,4.3,5.6,RAZ26
Разлог,6.4,8.4,13.0,BLG37
Ракитово,11.9,14.2,19.0,PAZ24
Раковски,10.0,11.5,12.5,PDV25
Рила,7.8,8.3,8.7,KNL38
Родопи,3.5,4.6,5.8,PDV26
Роман,21.0,19.8,23.0,VRC32
Рудозем,9.6,9.8,10.7,SML27
Руен,8.8,9.3,13.7,BGS18
Ружинци,39.1,52.6,50.5,VID33
Русе,3.2,3.2,5.1,RSE27
