,2021,nuts4
Аврен,40.0,VAR01
Айтос,35.0,BGS01
Аксаково,32.2,VAR02
Алфатар,32.0,SLS01
Антон,31.9,SFO54
Антоново,41.5,TGV02
Априлци,27.7,LOV02
Ардино,51.2,KRZ02
Асеновград,33.8,PDV01
Балчик,36.1,DOB03
Баните,32.2,SML02
Банско,28.5,BLG01
Батак,29.6,PAZ03
Белене,38.7,PVN03
Белица,42.0,BLG02
Белово,39.6,PAZ04
Белоградчик,30.8,VID01
Белослав,28.9,VAR04
Берковица,43.1,MON02
Благоевград,28.7,BLG03
Бобов дол,44.2,KNL04
Бобошево,35.3,KNL05
Божурище,26.5,SFO06
Бойница,48.4,VID03
Бойчиновци,39.4,MON04
Болярово,38.9,JAM03
Борино,26.7,SML05
Борован,37.3,VRC05
Борово,34.7,RSE03
Ботевград,31.9,SFO07
Братя Даскалови,44.8,SZR04
Брацигово,39.1,PAZ06
Брегово,41.1,VID06
Брезник,34.5,PER08
Брезово,38.9,PDV07
Брусарци,38.1,MON07
Бургас,27.5,BGS04
Бяла (Варна),26.2,VAR05
Бяла (Русе),35.8,RSE04
Бяла Слатина,43.7,VRC08
Варна,26.1,VAR06
Велики Преслав,31.9,SHU23
Велико Търново,26.3,VTR04
Велинград,37.4,PAZ08
Венец,49.1,SHU07
Ветово,41.8,RSE05
Ветрино,23.7,VAR08
Видин,34.5,VID09
Враца,33.2,VRC10
Вълчедръм,31.9,MON11
Вълчи дол,32.8,VAR09
Върбица,47.4,SHU10
Вършец,43.5,MON12
Габрово,25.0,GAB05
Генерал Тошево,38.0,DOB12
Георги Дамяново,41.1,MON14
Главиница,52.2,SLS07
Годеч,30.5,SFO09
Горна Малина,27.3,SFO10
Горна Оряховица,31.3,VTR06
Гоце Делчев,33.5,BLG11
Грамада,27.1,VID15
Гулянци,38.2,PVN08
Гурково,39.2,SZR37
Гълъбово,31.5,SZR07
Гърмен,43.9,BLG13
Две могили,36.6,RSE08
Девин,29.9,SML09
Девня,31.0,VAR14
Джебел,55.3,KRZ08
Димитровград,34.8,HKV09
Димово,55.8,VID16
Добрич,28.8,DOB28
Добрич-селска,43.3,DOB15
Долна Митрополия,39.4,PVN10
Долна баня,31.4,SFO59
Долни Дъбник,40.2,PVN11
Долни чифлик,37.0,VAR13
Доспат,35.4,SML10
Драгоман,34.2,SFO16
Дряново,31.5,GAB12
Дулово,49.6,SLS10
Дупница,36.9,KNL48
Дългопол,39.6,VAR16
Елена,41.1,VTR13
Елин Пелин,27.5,SFO17
Елхово,33.0,JAM07
Етрополе,27.0,SFO18
Завет,44.9,RAZ11
Земен,34.9,PER19
Златарица,32.9,VTR14
Златица,30.1,SFO47
Златоград,37.6,SML11
Ивайловград,37.3,HKV11
Иваново,35.9,RSE13
Искър,44.6,PVN23
Исперих,40.2,RAZ14
Ихтиман,44.6,SFO20
Каварна,41.0,DOB17
Казанлък,27.5,SZR12
Кайнарджа,52.0,SLS15
Калояново,34.6,PDV12
Камено,34.1,BGS08
Каолиново,40.6,SHU18
Карлово,34.7,PDV13
Карнобат,35.7,BGS09
Каспичан,32.5,SHU19
Кирково,55.3,KRZ14
Кнежа,39.5,PVN39
Ковачевци,35.3,PER22
Козлодуй,30.5,VRC20
Копривщица,35.1,SFO24
Костенец,25.5,SFO25
Костинброд,24.5,SFO26
Котел,36.4,SLV11
Кочериново,24.2,KNL27
Кресна,32.0,BLG28
Криводол,41.0,VRC21
Кричим,44.8,PDV39
Крумовград,48.8,KRZ15
Крушари,40.5,DOB20
Кубрат,35.2,RAZ16
Куклен,31.9,PDV42
Кула,28.9,VID22
Кърджали,39.1,KRZ16
Кюстендил,36.4,KNL29
Левски,39.2,PVN16
Лесичово,21.4,PAZ14
Летница,42.1,LOV17
Ловеч,35.0,LOV18
Лозница,44.5,RAZ17
