,station no,adm_id,ПП ДРОМ,ПП ДРОМ result,ПП ДРОМ result invalid,ПП Движение за радикална промяна Българската пролет,ПП Движение за радикална промяна Българската пролет result,ПП Движение за радикална промяна Българската пролет result invalid,Политическа партия Движение Напред България,Политическа партия Движение Напред България result,Политическа партия Движение Напред България result invalid,"Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност","Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност result","Нова Република – ДСБ, Съюз за Пловдив, Българска демократична общност result invalid","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз)","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз) result","КОАЛИЦИЯ НА НЕДОВОЛНИТЕ (БСД – Евролевица, Българска Социалдемократическа партия, Християн-Социален Съюз) result invalid",ВОЛЯ,ВОЛЯ result,ВОЛЯ result invalid,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ result,ПП БЪЛГАРСКИ ДЕМОКРАТИЧЕН ЦЕНТЪР - БДЦ result invalid,Коалиция АБВ – Движение 21,Коалиция АБВ – Движение 21 result,Коалиция АБВ – Движение 21 result invalid,Движение за права и свободи – ДПС,Движение за права и свободи – ДПС result,Движение за права и свободи – ДПС result invalid,БСП за БЪЛГАРИЯ,БСП за БЪЛГАРИЯ result,БСП за БЪЛГАРИЯ result invalid,ПП ГЕРБ,ПП ГЕРБ result,ПП ГЕРБ result invalid,партия на ЗЕЛЕНИТЕ,партия на ЗЕЛЕНИТЕ result,партия на ЗЕЛЕНИТЕ result invalid,Обединение ДОСТ,Обединение ДОСТ result,Обединение ДОСТ result invalid,ПП Възраждане,ПП Възраждане result,ПП Възраждане result invalid,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ result,ДВИЖЕНИЕ ПРЕЗАРЕДИ БЪЛГАРИЯ result invalid,"КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС)","КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС) result","КП ДВИЖЕНИЕ ДА БЪЛГАРИЯ (Зелените, ДЕОС) result invalid","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО result","ОБЕДИНЕНИ ПАТРИОТИ – НФСБ, АТАКА и ВМРО result invalid",КОЙ – Българската левица и Зелена партия,КОЙ – Българската левица и Зелена партия result,КОЙ – Българската левица и Зелена партия result invalid,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ result,ПП НАЦИОНАЛНА РЕПУБЛИКАНСКА ПАРТИЯ result invalid,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ result,БЪЛГАРСКО НАЦИОНАЛНО ОБЕДИНЕНИЕ result invalid,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН result,РЕФОРМАТОРСКИ БЛОК – ГЛАС НАРОДЕН result invalid,независими1,независими1 result,независими1 result invalid,независими2,независими2 result,независими2 result invalid
0,010100001,1,1,0,0,2,1,0,3,1,0,4,12,0,5,1,0,6,36,0,7,1,0,8,3,0,9,0,0,10,116,0,11,211,0,12,0,0,13,0,0,14,14,0,15,0,0,16,1,0,17,28,0,18,0,0,19,0,0,20,0,0,21,10,0,22,0.0,0.0,23,,
1,010100002,1,1,0,0,2,0,0,3,3,0,4,6,0,5,1,0,6,33,0,7,3,0,8,4,0,9,2,0,10,122,0,11,208,0,12,2,0,13,0,0,14,5,0,15,0,0,16,5,0,17,29,0,18,0,0,19,0,0,20,1,0,21,15,0,22,0.0,0.0,23,,
2,010100003,1,1,0,0,2,0,0,3,4,0,4,6,0,5,0,0,6,36,0,7,0,0,8,0,0,9,8,0,10,80,0,11,205,2,12,1,0,13,1,0,14,3,0,15,0,0,16,5,0,17,33,0,18,0,0,19,0,0,20,0,0,21,4,0,22,0.0,0.0,23,,
3,010100004,1,1,0,0,2,2,0,3,0,0,4,12,0,5,0,0,6,37,0,7,2,0,8,1,0,9,2,0,10,114,3,11,210,1,12,0,0,13,2,0,14,1,0,15,0,0,16,9,0,17,29,0,18,1,0,19,0,0,20,0,0,21,11,0,22,0.0,0.0,23,,
4,010100005,1,1,0,0,2,1,0,3,3,0,4,7,0,5,0,0,6,36,0,7,0,0,8,1,0,9,3,0,10,103,0,11,183,0,12,0,0,13,0,0,14,2,0,15,0,0,16,5,0,17,24,0,18,0,0,19,0,0,20,0,0,21,9,0,22,0.0,0.0,23,,
5,010100006,1,1,0,0,2,0,0,3,3,0,4,15,0,5,0,0,6,66,0,7,0,0,8,4,0,9,1,0,10,80,1,11,179,0,12,0,0,13,0,0,14,2,0,15,0,0,16,1,0,17,27,0,18,1,0,19,0,0,20,0,0,21,11,0,22,0.0,0.0,23,,
6,010100007,1,1,0,0,2,1,0,3,0,0,4,6,0,5,0,0,6,52,0,7,0,0,8,4,0,9,5,0,10,100,0,11,210,4,12,0,0,13,3,0,14,4,0,15,0,0,16,1,0,17,36,1,18,0,0,19,0,0,20,0,0,21,6,0,22,0.0,0.0,23,,
7,010100008,1,1,0,0,2,0,0,3,2,0,4,4,0,5,0,0,6,39,0,7,0,0,8,4,0,9,5,0,10,75,0,11,194,1,12,1,0,13,0,0,14,5,0,15,0,0,16,2,0,17,35,0,18,0,0,19,0,0,20,0,0,21,5,0,22,1.0,0.0,23,,
8,010100009,1,1,1,0,2,0,0,3,3,0,4,3,0,5,0,0,6,56,0,7,1,0,8,7,0,9,2,0,10,88,0,11,171,0,12,0,0,13,0,0,14,0,0,15,0,0,16,5,0,17,36,0,18,1,0,19,0,0,20,2,0,21,9,0,22,0.0,0.0,23,,
9,010100010,1,1,0,0,2,0,0,3,0,0,4,13,0,5,0,0,6,56,0,7,0,0,8,2,0,9,4,0,10,84,0,11,217,0,12,1,0,13,1,0,14,4,0,15,0,0,16,2,0,17,25,0,18,0,0,19,0,0,20,0,0,21,9,0,22,0.0,0.0,23,,
10,010100011,1,1,2,0,2,0,0,3,4,0,4,2,0,5,0,0,6,30,0,7,2,0,8,0,0,9,18,0,10,47,0,11,161,0,12,0,0,13,0,0,14,0,0,15,0,0,16,0,0,17,8,0,18,0,0,19,0,0,20,1,0,21,2,0,22,1.0,0.0,23,,
11,010100012,1,1,0,0,2,1,0,3,5,0,4,9,1,5,1,0,6,47,5,7,1,0,8,4,0,9,4,0,10,119,7,11,218,8,12,0,0,13,0,0,14,8,0,15,0,0,16,3,0,17,31,3,18,0,0,19,1,0,20,0,0,21,9,1,22,0.0,0.0,23,,
12,010100013,1,1,0,0,2,0,0,3,0,0,4,8,0,5,0,0,6,83,0,7,0,0,8,2,0,9,2,0,10,125,0,11,223,0,12,0,0,13,0,0,14,4,0,15,0,0,16,2,0,17,34,0,18,0,0,19,0,0,20,0,0,21,9,0,22,0.0,0.0,23,,
13,010100014,1,1,0,0,2,0,0,3,0,0,4,3,0,5,2,0,6,14,0,7,1,0,8,1,0,9,2,0,10,154,0,11,238,0,12,0,0,13,2,0,14,2,0,15,0,0,16,1,0,17,31,0,18,0,0,19,0,0,20,1,0,21,10,0,22,0.0,0.0,23,,
14,010100015,1,1,1,0,2,1,0,3,2,0,4,2,0,5,0,0,6,15,0,7,0,0,8,0,0,9,3,0,10,71,0,11,264,0,12,1,0,13,0,0,14,1,0,15,0,0,16,4,0,17,23,0,18,0,0,19,0,0,20,0,0,21,13,0,22,0.0,0.0,23,,
15,010100016,1,1,0,0,2,0,0,3,2,0,4,4,0,5,0,0,6,8,0,7,0,0,8,1,0,9,1,0,10,84,0,11,162,0,12,1,0,13,0,0,14,3,0,15,0,0,16,0,0,17,25,0,18,1,0,19,0,0,20,0,0,21,4,0,22,0.0,0.0,23,,
16,010100017,1,1,0,0,2,1,0,3,2,0,4,3,0,5,1,0,6,24,0,7,0,0,8,1,0,9,2,0,10,88,0,11,222,0,12,0,0,13,0,0,14,5,0,15,0,0,16,1,0,17,40,0,18,0,0,19,0,0,20,0,0,21,10,0,22,0.0,0.0,23,,
17,010100018,1,1,0,0,2,0,0,3,1,0,4,0,0,5,0,0,6,1,0,7,0,0,8,0,0,9,0,0,10,5,0,11,18,0,12,0,0,13,0,0,14,0,0,15,0,0,16,0,0,17,2,0,18,0,0,19,0,0,20,0,0,21,0,0,22,0.0,0.0,23,,
18,010100019,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,1,0,7,0,0,8,0,0,9,0,0,10,10,0,11,30,0,12,0,0,13,0,0,14,0,0,15,0,0,16,0,0,17,1,0,18,0,0,19,0,0,20,0,0,21,0,0,22,0.0,0.0,23,,
19,010100020,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,3,0,7,0,0,8,0,0,9,0,0,10,9,0,11,35,3,12,0,0,13,1,1,14,0,0,15,0,0,16,0,0,17,10,2,18,0,0,19,0,0,20,0,0,21,0,0,22,0.0,0.0,23,,
20,010100021,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,13,2,7,0,0,8,0,0,9,2,0,10,34,4,11,79,8,12,0,0,13,0,0,14,1,0,15,0,0,16,0,0,17,4,0,18,0,0,19,0,0,20,0,0,21,0,0,22,0.0,0.0,23,,
21,010100022,1,1,0,0,2,0,0,3,0,0,4,0,0,5,0,0,6,7,0,7,0,0,8,0,0,9,8,1,10,35,1,11,84,6,12,0,0,13,1,0,14,0,0,15,0,0,16,0,0,17,18,0,18,0,0,19,0,0,20,0,0,21,1,0,22,0.0,0.0,23,,
22,010100023,1,1,0,0,2,1,0,3,0,0,4,0,0,5,1,0,6,13,1,7,1,0,8,0,0,9,228,3,10,38,1,11,13,1,12,0,0,13,62,2,14,0,0,15,0,0,16,0,0,17,0,0,18,0,0,19,2,0,20,0,0,21,0,0,22,0.0,0.0,23,,
23,010200001,1,1,1,0,2,1,0,3,2,0,4,4,0,5,0,0,6,4,0,7,0,0,8,2,0,9,70,0,10,120,3,11,83,1,12,0,0,13,0,0,14,1,0,15,0,0,16,1,0,17,28,3,18,0,0,19,0,0,20,1,0,21,3,0,22,0.0,0.0,23,,
