,sid,Движение 21 result,Движение 21 result invalid,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ result,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ result invalid,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД result,БЪЛГАРСКИ НАЦИОНАЛЕН СЪЮЗ - НД result invalid,ПП НОВОТО ВРЕМЕ result,ПП НОВОТО ВРЕМЕ result invalid,ОБЕДИНЕНА БЪЛГАРИЯ result,ОБЕДИНЕНА БЪЛГАРИЯ result invalid,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ result,СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ result invalid,"РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС result","РЕФОРМАТОРСКИ БЛОК – БЗНС, ДБГ, ДСБ, НПСД, СДС result invalid",ПП Нова България result,ПП Нова България result invalid,ПП ГЕРБ result,ПП ГЕРБ result invalid,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result,ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result invalid,АТАКА result,АТАКА result invalid,НДСВ result,НДСВ result invalid,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА result,КП БЪЛГАРИЯ БЕЗ ЦЕНЗУРА result invalid,Коалиция АБВ – (Алтернатива за българско възраждане) result,Коалиция АБВ – (Алтернатива за българско възраждане) result invalid,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ result,ЛЕВИЦАТА И ЗЕЛЕНА ПАРТИЯ result invalid,НОВА АЛТЕРНАТИВА result,НОВА АЛТЕРНАТИВА result invalid,КП ДЕСНИТЕ result,КП ДЕСНИТЕ result invalid,ДПС – Движение за права и свободи result,ДПС – Движение за права и свободи result invalid,ПП Глас Народен result,ПП Глас Народен result invalid,ПАРТИЯ НА ЗЕЛЕНИТЕ result,ПАРТИЯ НА ЗЕЛЕНИТЕ result invalid,НОВА СИЛА result,НОВА СИЛА result invalid,БСП лява България result,БСП лява България result invalid,ЗЕЛЕНИТЕ result,ЗЕЛЕНИТЕ result invalid,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО result,ПАТРИОТИЧЕН ФРОНТ – НФСБ И ВМРО result invalid,РЕПУБЛИКА БГ result,РЕПУБЛИКА БГ result invalid,независими result,независими result invalid
0,010100001,3,0,2,0,1,0,1,0,4,0,1,0,36,0,0,0,192,1,1.0,0.0,13,1,1,0,24,0,32,0,3,0,0,0,0,0,2,0,2,0,0,0,2.0,0.0,87,2,0,0,30,0,0,0,1.0,0.0
1,010100002,9,0,1,0,1,0,3,0,1,0,0,0,45,0,1,0,194,0,0.0,0.0,11,0,0,0,23,0,20,0,1,0,1,0,0,0,0,0,6,0,1,0,0.0,0.0,89,0,2,0,51,0,0,0,0.0,0.0
2,010100003,1,0,2,0,1,0,0,0,1,0,0,0,37,1,0,0,236,2,2.0,1.0,6,1,0,0,28,0,16,0,0,0,0,0,0,0,1,0,3,0,1,0,0.0,0.0,84,5,1,0,29,0,0,0,7.0,0.0
3,010100004,4,0,1,0,0,0,0,0,0,0,1,0,36,0,4,0,284,3,2.0,0.0,13,1,1,0,43,1,17,0,0,1,0,0,0,0,5,0,1,0,1,0,2.0,0.0,47,1,1,0,58,0,1,0,7.0,0.0
4,010100005,1,0,1,0,0,0,0,0,0,0,0,0,41,0,2,0,190,2,0.0,0.0,11,0,1,0,19,0,30,0,2,0,1,0,1,0,0,0,1,0,2,0,0.0,1.0,44,1,5,0,24,0,1,0,4.0,0.0
5,010100006,1,0,1,0,1,0,0,0,0,0,0,1,49,0,4,1,174,4,3.0,0.0,6,0,1,0,14,0,15,0,0,0,0,0,0,0,0,0,1,0,2,0,0.0,0.0,47,1,0,0,12,0,0,0,0.0,0.0
6,010100007,8,0,3,0,1,0,1,0,1,0,2,0,20,0,2,0,188,0,2.0,0.0,13,0,1,0,16,0,21,0,1,0,0,0,0,0,1,0,1,0,1,0,1.0,0.0,76,0,1,0,28,0,0,0,6.0,0.0
7,010100008,4,0,1,0,1,0,0,0,1,0,1,0,40,0,2,0,203,1,1.0,0.0,11,0,0,0,29,0,18,0,0,0,1,0,0,0,0,0,5,0,0,0,1.0,0.0,46,0,0,0,25,0,1,0,0.0,0.0
8,010100009,14,0,0,0,4,0,1,0,2,0,0,1,21,1,0,0,308,37,0.0,0.0,15,0,0,0,31,7,22,1,2,0,0,0,0,0,25,3,3,0,0,0,0.0,0.0,64,3,1,0,40,0,2,0,2.0,0.0
9,010100010,3,0,2,0,1,0,0,0,0,0,3,0,47,0,3,0,219,0,1.0,0.0,13,0,1,0,31,0,21,0,0,0,0,0,1,0,10,0,3,0,0,0,1.0,0.0,75,0,2,0,40,0,0,0,1.0,0.0
