sid,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,npn,invalid,МЕЧ,ВМРО БНД,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ЗЕЛЕНИТЕ,Кузман Илиев (нез.),ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,ПРЯКА ДЕМОКРАЦИЯ,НИЕ ИДВАМЕ,НИЕ ГРАЖДАНИТЕ,ЕДИНЕНИЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,КОАЛИЦИЯ НА РОЗАТА,ОБЩЕСТВО ЗА НОВА БГ,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,НП ИСИ,БНО,БСДД,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010100001,77.0,1.0,55.0,31.0,30.0,23.0,5.0,15.0,6,4.0,3.0,2.0,4.0,7.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,01,01,00,001,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б",608
010100002,71.0,0.0,37.0,21.0,28.0,20.0,4.0,15.0,3,2.0,13.0,1.0,6.0,3.0,5.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,01,01,00,002,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",533
010100003,75.0,2.0,18.0,22.0,15.0,14.0,6.0,19.0,6,4.0,0.0,2.0,5.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,01,01,00,003,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",494
010100004,80.0,0.0,46.0,22.0,35.0,8.0,3.0,18.0,0,2.0,2.0,2.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,004,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО КЛУБ НА ПЕНСИОНЕРА, ул.  ЦАР СИМЕОН  №54",554
010100005,75.0,4.0,33.0,37.0,24.0,7.0,7.0,14.0,7,2.0,4.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,005,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ЧИТАЛИЩЕ  НИКОЛА ВАПЦАРОВ , ПЛ.  НИКОЛА ВАПЦАРОВ  №14",470
010100006,58.0,4.0,35.0,23.0,22.0,14.0,7.0,11.0,3,3.0,4.0,3.0,3.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,006,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",451
010100007,98.0,0.0,14.0,30.0,19.0,7.0,11.0,16.0,4,3.0,4.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,007,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",560
010100008,69.0,3.0,28.0,30.0,22.0,11.0,6.0,13.0,4,2.0,5.0,3.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,008,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",490
010100009,84.0,1.0,29.0,34.0,5.0,9.0,9.0,14.0,4,6.0,7.0,4.0,3.0,7.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,01,01,00,009,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",588
010100010,69.0,3.0,37.0,38.0,22.0,16.0,19.0,14.0,5,5.0,8.0,1.0,1.0,9.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,010,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",637
