sid,ГЕРБ-СДС,ДПС,ПП/ДБ,ВЪЗР,БСП,ИТН,ВЕЛИЧИЕ,МЕЧ,npn,invalid,СИНЯ БЪЛГАРИЯ,СОЛИДАРНА БГ,ЦЕНТЪР,ВМРО БНД,ЛЕВИЦАТА,БВ,ЗЕЛЕНО ДВИЖЕНИЕ,ГЛАС НАРОДЕН,НИЕ ИДВАМЕ,ЗЕЛЕНИТЕ,ПРЯКА ДЕМОКРАЦИЯ,ЕДИНЕНИЕ,НИЕ ГРАЖДАНИТЕ,БЪЛГАРСКИ ГЛАСЪ,ГРАЖДАНСКИ БЛОК,НП ИСИ,НЕУТРАЛНА БЪЛГАРИЯ,ОБЩЕСТВО ЗА НОВА БГ,КОАЛИЦИЯ НА РОЗАТА,БНС-НД,ЗА ВЕЛИКА БЪЛГАРИЯ,БСДД,БНО,region,municipality,admin_reg,station,region_name,ekatte,place,address,municipality_name,eligible_voters
010100004,92.0,0.0,36.0,17.0,46.0,8.0,7.0,5.0,16.0,4,1.0,4.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01,01,00,004,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО КЛУБ НА ПЕНСИОНЕРА, ул.  ЦАР СИМЕОН  №54",Банско,579
010100006,68.0,6.0,30.0,19.0,28.0,11.0,10.0,5.0,8.0,6,3.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01,01,00,006,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",Банско,467
010100007,112.0,0.0,20.0,24.0,28.0,6.0,11.0,4.0,22.0,1,5.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,007,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",Банско,566
010100010,98.0,3.0,39.0,31.0,28.0,17.0,15.0,6.0,11.0,3,3.0,3.0,7.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01,01,00,010,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",Банско,699
010100013,132.0,2.0,36.0,46.0,26.0,23.0,14.0,12.0,14.0,16,1.0,4.0,4.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,01,01,00,013,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",Банско,859
010100002,90.0,1.0,34.0,23.0,36.0,16.0,7.0,2.0,14.0,3,1.0,6.0,5.0,2.0,2.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,002,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",Банско,540
010100003,91.0,3.0,15.0,20.0,22.0,13.0,6.0,5.0,16.0,6,2.0,6.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,003,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",Банско,506
010100008,85.0,3.0,32.0,25.0,30.0,12.0,7.0,4.0,10.0,0,1.0,2.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,008,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",Банско,494
010100009,89.0,2.0,34.0,27.0,20.0,14.0,10.0,3.0,13.0,4,1.0,4.0,8.0,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,009,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31",Банско,619
010100001,103.0,1.0,53.0,33.0,28.0,22.0,4.0,9.0,10.0,12,1.0,2.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,001,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б",Банско,608
010100011,135.0,3.0,16.0,18.0,9.0,5.0,5.0,10.0,5.0,27,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,01,01,00,011,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б",Банско,687
010100012,118.0,1.0,37.0,21.0,28.0,22.0,5.0,6.0,8.0,5,0.0,1.0,6.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,012,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б",Банско,646
010100005,88.0,3.0,33.0,27.0,35.0,11.0,7.0,1.0,11.0,3,5.0,5.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,01,01,00,005,01. БЛАГОЕВГРАД,2676,гр.Банско,"гр. БАНСКО ЧИТАЛИЩЕ  НИКОЛА ВАПЦАРОВ , ПЛ.  НИКОЛА ВАПЦАРОВ  №14",Банско,477
010100017,115.0,2.0,38.0,20.0,18.0,8.0,3.0,9.0,10.0,9,6.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,01,01,00,017,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ КЛУБ НА ПЕНСИОНЕРА, УЛ.  ТЪРГОВСКА  №16",Банско,594
010100015,129.0,5.0,14.0,22.0,15.0,8.0,10.0,8.0,6.0,5,2.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,015,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",Банско,616
010100016,45.0,1.0,21.0,13.0,56.0,7.0,5.0,1.0,5.0,2,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,016,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",Банско,434
010100014,94.0,1.0,41.0,23.0,26.0,7.0,8.0,3.0,11.0,8,4.0,1.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,014,01. БЛАГОЕВГРАД,21498,гр.Добринище,"гр. ДОБРИНИЩЕ ЧИТАЛИЩЕ  ДИМИТЪР БЛАГОЕВ , ПЛ.  НЕЗАВИСИМОСТ  №2",Банско,645
010100018,14.0,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,018,01. БЛАГОЕВГРАД,17381,с.Гостун,с. ГОСТУН КЛУБ НА ПЕНСИОНЕРА,Банско,25
010100021,31.0,4.0,11.0,2.0,10.0,3.0,0.0,0.0,1.0,5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,021,01. БЛАГОЕВГРАД,39614,с.Кремен,с. КРЕМЕН КЛУБ НА ПЕНСИОНЕРА,Банско,130
010100022,38.0,0.0,5.0,6.0,18.0,0.0,5.0,1.0,3.0,5,0.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,022,01. БЛАГОЕВГРАД,47857,с.Места,с. МЕСТА КЛУБ НА ПЕНСИОНЕРА,Банско,187
010100020,12.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,3,0.0,12.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,020,01. БЛАГОЕВГРАД,53059,с.Обидим,с. ОБИДИМ КЛУБ НА ПЕНСИОНЕРА,Банско,73
010100019,12.0,0.0,2.0,2.0,12.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,019,01. БЛАГОЕВГРАД,54136,с.Осеново,с. ОСЕНОВО КЛУБ НА ПЕНСИОНЕРА,Банско,38
010100023,77.0,129.0,4.0,5.0,8.0,11.0,1.0,4.0,1.0,15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,01,01,00,023,01. БЛАГОЕВГРАД,76090,с.Филипово,с. ФИЛИПОВО КЛУБ НА ПЕНСИОНЕРА,Банско,526
010200001,30.0,80.0,9.0,22.0,43.0,5.0,3.0,6.0,3.0,6,3.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,01,02,00,001,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА ГИМНАЗИЯ  Н. Й. ВАПЦАРОВ , УЛ.  ДИМО ХАДЖИДИМОВ ",Белица,562
010200002,43.0,181.0,10.0,12.0,26.0,5.0,5.0,5.0,3.0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,02,00,002,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА ГИМНАЗИЯ  Н. Й. ВАПЦАРОВ , УЛ.  ДИМО ХАДЖИДИМОВ ",Белица,819
010200003,74.0,139.0,9.0,18.0,51.0,5.0,6.0,5.0,7.0,6,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,02,00,003,01. БЛАГОЕВГРАД,3504,гр.Белица,"гр. БЕЛИЦА ИНФОРМАЦИОНЕН ЦЕНТЪР, УЛ.  ГЕОРГИ АНДРЕЙЧИН  №11",Белица,697
