sid,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ДПС-Доган,ИТН,МЕЧ,ВЕЛИЧИЕ,npn,invalid,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,ДОСТ,БНС-НД,КОЙ,Чавдар Попов (нез.),Булгари,БСДД,СПБП,БТР,БРИГАДА,region,municipality,admin_reg,station,municipality_name,region_name,ekatte,place,address,eligible_voters
010100004,117.0,51.0,22.0,3.0,47.0,0.0,12.0,7.0,6.0,14.0,3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,01,01,00,004,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, КЛУБ НА ПЕНСИОНЕРА, ул. ЦАР СИМЕОН  №54",586
010100006,97.0,34.0,30.0,7.0,15.0,2.0,13.0,9.0,5.0,11.0,6,0.0,1.0,2.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,01,01,00,006,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ ,  ПЛ. ВЪЗРАЖДАНЕ  №3",472
010100013,147.0,46.0,46.0,12.0,27.0,2.0,23.0,25.0,8.0,17.0,8,1.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,01,01,00,013,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3",882
010100007,128.0,21.0,44.0,7.0,15.0,0.0,13.0,5.0,9.0,11.0,5,2.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,01,01,00,007,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ. ВЪЗРАЖДАНЕ  №3",562
010100010,127.0,44.0,28.0,3.0,17.0,4.0,22.0,8.0,7.0,13.0,4,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,010,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ. ВЪЗРАЖДАНЕ  №3",701
010100002,128.0,43.0,24.0,1.0,28.0,1.0,24.0,7.0,5.0,15.0,2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,01,01,00,002,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, ПЛТГ Н.ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ  №31",545
010100003,113.0,16.0,21.0,10.0,15.0,0.0,10.0,8.0,2.0,8.0,2,3.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,01,01,00,003,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, ПЛТГ Н.ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ  №31",515
010100008,112.0,27.0,35.0,5.0,19.0,0.0,15.0,4.0,11.0,14.0,3,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,01,01,00,008,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, ПЛТГ Н.ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ  №31",493
010100009,118.0,35.0,41.0,5.0,11.0,0.0,18.0,12.0,9.0,11.0,2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01,01,00,009,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, ПЛТГ Н.ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ  №31",627
010100011,115.0,12.0,16.0,72.0,11.0,0.0,6.0,14.0,4.0,4.0,14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,01,01,00,011,Банско,01. БЛАГОЕВГРАД,2676,гр.Банско,"ГР.БАНСКО, СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  № 9Б",690
