sid,eligible_voters,added_voters,signatures,paper_ballots,invalid,npn_p,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_p,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_p,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_p,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_p,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_p,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_p,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_p,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_p,machine_ballots,npn_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_m,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_m,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_m,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_m,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_m,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_m,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_m,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_m,total_parties_m,Мери Лалева Джонджорова-Калчева БЪЛГАРСКА СОЦИАЛДЕМОКРАТИЧЕСКА ПАРТИЯ_tot,Димитър Георгиев Драганов ВЪЗРАЖДАНЕ_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,Борис Цветков Цветков БСП – ОБЕДИНЕНА ЛЕВИЦА_tot,Ивайло Стоянов Докузанов ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ_tot,Борислав Христов Борисов Политическа партия БЪЛГАРИЯ МОЖЕ_tot,Гергана Николова Калпачка ИК - Гергана Николова Калпачка_tot,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,address
224614066,727,2,72,38,0,1,0,6,5,10,0,0,5,11,34,0,0,3,17,2,2,0,6,4,34,0,9,22,12,2,0,11,15,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11"
224614007,746,1,49,17,0,0,0,0,3,3,0,1,4,6,32,0,0,0,17,4,0,0,10,1,32,0,0,20,7,0,1,14,7,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614002,713,1,92,37,1,2,0,1,4,9,0,0,13,7,55,0,0,0,27,6,0,1,18,3,55,0,1,31,15,0,1,31,10,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15"
224614063,835,1,81,24,0,1,0,1,3,8,0,0,0,11,57,1,0,3,38,6,0,1,2,6,56,0,4,41,14,0,1,2,17,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36"
224614036,668,2,117,56,1,0,0,2,6,5,0,0,4,38,61,0,1,2,22,3,0,1,4,28,61,1,4,28,8,0,1,8,66,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12"
224614049,672,3,84,33,0,0,0,2,0,7,1,0,4,19,51,1,0,4,13,11,0,1,9,12,50,0,6,13,18,1,1,13,31,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614054,729,0,92,21,0,0,0,1,1,5,0,0,3,11,71,0,1,3,46,8,0,0,6,7,71,1,4,47,13,0,0,9,18,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614053,634,0,66,22,0,0,0,3,2,1,0,0,0,16,44,0,0,3,30,6,0,0,2,3,44,0,6,32,7,0,0,2,19,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122"
224614013,696,2,77,25,0,0,0,0,14,2,0,0,5,4,52,0,0,2,36,1,0,0,6,7,52,0,2,50,3,0,0,11,11,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4"
224614021,599,7,115,42,1,0,0,0,19,3,1,0,3,15,73,0,0,1,47,4,0,1,7,13,73,0,1,66,7,1,1,10,28,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2"
