sid,Петко Христов Краев Местна коалиция ГЕРБ /СДС/_tot,Ясен Емилов Русев КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ_tot,npn,invalid,region,municipality,admin_reg,station,region_name,municipality_name,place,ekatte,address,eligible_voters
224614066,32,28,4,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",727
224614007,31,26,0,4,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",746
224614002,42,48,2,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",713
224614063,36,46,1,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",834
224614036,92,32,4,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",668
224614049,51,24,3,4,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",673
224614054,34,63,3,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",730
224614053,44,46,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",634
224614013,33,53,3,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",696
224614021,67,70,0,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",599
224614070,30,30,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",635
224614039,67,26,4,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",620
224614075,98,9,1,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16",831
224614018,48,43,3,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",670
224614001,43,46,1,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",699
224614006,41,41,1,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",770
224614062,36,49,2,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",869
224614078,38,63,2,0,-,-,-,-,-,Столична,-,-,"С. БУСМАНЦИ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16",657
224614008,39,30,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",690
224614059,36,60,4,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",901
224614046,47,19,0,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",689
224614037,73,20,2,3,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",725
224614026,49,49,5,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",728
224614004,45,48,2,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 108 СОУ ""Никола Беловеждов"" - жк Дружба 1, ул. 5038 №15",773
224614011,27,38,0,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 89 ОУ ""Христо Стамболски"" - жк Дружба 1, ул. Чудомир Топлодолски №4",604
224614031,86,73,3,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",902
224614028,37,44,2,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",617
224614058,36,49,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 163 ОУ ""Черноризец Храбър"" жк ""Дружба"" 2, ул. ""Обиколна"" №36",809
224614025,63,30,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",610
224614065,40,28,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",667
224614076,122,24,1,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 65 ОУ ""Св. Св. Кирил и Методий"", с. Бусманци, ул. ""Просвета"" №16",742
224614069,39,31,2,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",639
224614029,23,36,1,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 69 СУ ""Димитър Маринов"" - жк Дружба 1, ул. Чудомир Топлодолски №2",685
224614032,59,63,3,1,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",728
224614042,62,39,1,2,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 4 ОУ ""Проф. Джон Атанасов"" - жк Дружба, ул. Тирана №12",800
224614044,39,27,1,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 68 СУ ""Никола Обрешков"" жк Дружба 2, бул. ""Проф. Цв. Лазаров"" №122",662
224614068,37,26,5,0,-,-,-,-,-,Столична,-,-,"ГР. СОФИЯ, 150 ОУ ""Цар Симеон I"" жк Дружба 2, ул. ""Делийска воденица"" №11",636
