sid,yes,no,invalid,region,municipality,municipality_name,admin_reg,station,region_name,place,ekatte,address,eligible_voters
010100001,126,96,4,01,01,Банско,00,001,БЛАГОЕВГРАД,гр.Банско,2676.0,-,781
010100002,116,93,2,01,01,Банско,00,002,БЛАГОЕВГРАД,гр.Банско,2676.0,-,727
010100003,125,94,4,01,01,Банско,00,003,БЛАГОЕВГРАД,гр.Банско,2676.0,-,821
010100004,94,95,0,01,01,Банско,00,004,БЛАГОЕВГРАД,гр.Банско,2676.0,-,976
010100005,62,68,1,01,01,Банско,00,005,БЛАГОЕВГРАД,гр.Банско,2676.0,-,658
010100006,51,76,1,01,01,Банско,00,006,БЛАГОЕВГРАД,гр.Банско,2676.0,-,546
010100007,94,51,2,01,01,Банско,00,007,БЛАГОЕВГРАД,гр.Банско,2676.0,-,710
010100008,72,57,2,01,01,Банско,00,008,БЛАГОЕВГРАД,гр.Банско,2676.0,-,687
010100009,66,60,3,01,01,Банско,00,009,БЛАГОЕВГРАД,гр.Банско,2676.0,-,1009
010100010,99,71,1,01,01,Банско,00,010,БЛАГОЕВГРАД,гр.Банско,2676.0,-,904
010100011,128,75,3,01,01,Банско,00,011,БЛАГОЕВГРАД,с.Добринище,21498.0,-,206
010100012,111,61,7,01,01,Банско,00,012,БЛАГОЕВГРАД,с.Добринище,21498.0,-,906
010100013,98,68,3,01,01,Банско,00,013,БЛАГОЕВГРАД,с.Добринище,21498.0,-,705
010100014,12,6,0,01,01,Банско,00,014,БЛАГОЕВГРАД,с.Гостун,17381.0,-,50
010100015,15,7,2,01,01,Банско,00,015,БЛАГОЕВГРАД,с.Осеново,54136.0,-,75
010100016,11,24,3,01,01,Банско,00,016,БЛАГОЕВГРАД,с.Обидим,53059.0,-,94
010100017,60,33,0,01,01,Банско,00,017,БЛАГОЕВГРАД,с.Кремен,39614.0,-,202
010100018,46,33,1,01,01,Банско,00,018,БЛАГОЕВГРАД,с.Места,47857.0,-,205
010100019,118,29,9,01,01,Банско,00,019,БЛАГОЕВГРАД,с.Филипово,76090.0,-,535
010200001,153,48,4,01,02,Белица,00,001,БЛАГОЕВГРАД,гр.Белица,3504.0,-,636
010200002,152,27,2,01,02,Белица,00,002,БЛАГОЕВГРАД,гр.Белица,3504.0,-,785
010200003,190,51,4,01,02,Белица,00,003,БЛАГОЕВГРАД,гр.Белица,3504.0,-,777
010200004,159,29,6,01,02,Белица,00,004,БЛАГОЕВГРАД,гр.Белица,3504.0,-,635
010200005,317,44,9,01,02,Белица,00,005,БЛАГОЕВГРАД,с.Дагоново,20064.0,-,614
010200006,122,11,0,01,02,Белица,00,006,БЛАГОЕВГРАД,с.Краище,39270.0,-,712
010200007,135,7,3,01,02,Белица,00,007,БЛАГОЕВГРАД,с.Краище,39270.0,-,671
010200008,172,9,11,01,02,Белица,00,008,БЛАГОЕВГРАД,с.Горно Краище,77596.0,-,941
010200009,16,11,0,01,02,Белица,00,009,БЛАГОЕВГРАД,с.Златарица,14521.0,-,84
010200010,74,6,1,01,02,Белица,00,010,БЛАГОЕВГРАД,с.Лютово,44762.0,-,188
010200011,97,11,2,01,02,Белица,00,011,БЛАГОЕВГРАД,с.Бабяк,2107.0,-,655
010200012,14,2,1,01,02,Белица,00,012,БЛАГОЕВГРАД,с.Гълъбово,15638.0,-,49
010200013,89,7,2,01,02,Белица,00,013,БЛАГОЕВГРАД,с.Кузьово,40453.0,-,202
010200014,77,7,3,01,02,Белица,00,014,БЛАГОЕВГРАД,с.Палатик,59330.0,-,167
010200015,93,7,4,01,02,Белица,00,015,БЛАГОЕВГРАД,с.Черешово,80649.0,-,238
010200016,65,14,2,01,02,Белица,00,016,БЛАГОЕВГРАД,с.Орцево,53998.0,-,159
010200017,108,9,3,01,02,Белица,00,017,БЛАГОЕВГРАД,с.Краище,39270.0,-,642
010300001,85,61,0,01,03,Благоевград,00,001,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,724
010300002,111,46,6,01,03,Благоевград,00,002,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,691
010300003,87,78,1,01,03,Благоевград,00,003,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,823
010300004,92,80,1,01,03,Благоевград,00,004,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,857
010300005,105,52,0,01,03,Благоевград,00,005,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,756
010300006,99,51,1,01,03,Благоевград,00,006,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,754
010300007,30,9,0,01,03,Благоевград,00,007,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,939
010300008,80,58,3,01,03,Благоевград,00,008,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,901
010300009,43,30,1,01,03,Благоевград,00,009,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,909
010300010,46,53,4,01,03,Благоевград,00,010,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,915
010300011,95,56,2,01,03,Благоевград,00,011,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,652
010300012,76,78,1,01,03,Благоевград,00,012,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,872
010300013,71,59,0,01,03,Благоевград,00,013,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,631
010300014,90,85,6,01,03,Благоевград,00,014,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,719
010300015,87,76,2,01,03,Благоевград,00,015,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,739
010300016,93,57,2,01,03,Благоевград,00,016,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,560
010300017,67,59,3,01,03,Благоевград,00,017,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,544
010300018,93,76,0,01,03,Благоевград,00,018,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,682
010300019,84,95,0,01,03,Благоевград,00,019,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,1045
010300020,82,85,4,01,03,Благоевград,00,020,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,685
010300021,110,74,4,01,03,Благоевград,00,021,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,799
010300022,90,65,2,01,03,Благоевград,00,022,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,774
010300023,49,33,4,01,03,Благоевград,00,023,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,343
010300024,57,75,4,01,03,Благоевград,00,024,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,543
010300025,78,36,0,01,03,Благоевград,00,025,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,438
010300026,92,68,6,01,03,Благоевград,00,026,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,898
010300027,109,74,1,01,03,Благоевград,00,027,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,725
010300028,68,45,4,01,03,Благоевград,00,028,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,499
010300029,74,75,0,01,03,Благоевград,00,029,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,698
010300030,65,54,4,01,03,Благоевград,00,030,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,664
010300031,78,59,1,01,03,Благоевград,00,031,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,709
010300032,54,45,2,01,03,Благоевград,00,032,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,376
010300033,28,29,1,01,03,Благоевград,00,033,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,213
010300034,110,80,1,01,03,Благоевград,00,034,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,715
010300035,84,71,1,01,03,Благоевград,00,035,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,729
010300036,79,75,3,01,03,Благоевград,00,036,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,579
010300037,92,58,7,01,03,Благоевград,00,037,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,563
010300038,72,65,0,01,03,Благоевград,00,038,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,445
010300039,74,72,0,01,03,Благоевград,00,039,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,567
010300040,63,72,1,01,03,Благоевград,00,040,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,661
010300041,120,89,6,01,03,Благоевград,00,041,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,1008
010300042,102,60,8,01,03,Благоевград,00,042,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,836
010300043,138,81,3,01,03,Благоевград,00,043,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,858
010300044,98,70,0,01,03,Благоевград,00,044,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,728
010300045,96,103,1,01,03,Благоевград,00,045,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,809
010300046,95,52,2,01,03,Благоевград,00,046,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,617
010300047,77,51,0,01,03,Благоевград,00,047,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,761
010300048,99,53,5,01,03,Благоевград,00,048,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,636
010300049,100,81,2,01,03,Благоевград,00,049,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,840
010300050,120,85,1,01,03,Благоевград,00,050,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,872
010300051,114,91,1,01,03,Благоевград,00,051,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,738
010300052,101,91,4,01,03,Благоевград,00,052,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,788
010300053,42,57,0,01,03,Благоевград,00,053,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,542
010300054,78,58,2,01,03,Благоевград,00,054,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,655
010300055,60,56,1,01,03,Благоевград,00,055,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,681
010300056,51,43,3,01,03,Благоевград,00,056,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,563
010300057,67,54,3,01,03,Благоевград,00,057,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,570
010300058,93,63,4,01,03,Благоевград,00,058,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,703
010300059,91,54,4,01,03,Благоевград,00,059,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,752
010300060,80,46,1,01,03,Благоевград,00,060,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,622
010300061,73,82,1,01,03,Благоевград,00,061,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,893
010300062,72,63,1,01,03,Благоевград,00,062,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,695
010300063,84,58,4,01,03,Благоевград,00,063,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,780
010300064,86,66,1,01,03,Благоевград,00,064,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,772
010300065,76,58,1,01,03,Благоевград,00,065,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,816
010300066,61,78,0,01,03,Благоевград,00,066,БЛАГОЕВГРАД,гр.Благоевград,4279.0,-,713
