sid,Нова Алтернатива,Демократическа Партия,НФСБ,Коалиция за България,Свобода и Достойнство,Нац.-Демократична Партия,Гражданска Листа - Модерна БГ,СДС,Либерален Алианс,Християн-Социален Съюз,Атака,ГЕРБ,РЗС,ВМРО - БНД,Демокр. Гражд. Инициатива,Християндем. партия,Средна Европейска Класа,Нац. Патриотично Обединение,Лидер,Зелените,ДСБ-БДФ,Социалдем. Партия,Другата България,Българската Левица,Кауза България,ДБГ,ДАНО,Българска Пролет,Горда България,Глас Народен,БЗНС,ДПС,Нац. Движение Единство,Партия на Бълг. Жени,Единна Народна Партия,Съюз на Комунистите,независими,npn,invalid,station_type,municipality,municipality_name,country_name,station,region_name,place,ekatte,address,eligible_voters
010100001,1,3.0,10,156,0,2,2,6,3,1.0,41,161,11,24,1.0,0.0,0.0,0.0,10,0.0,14,0.0,0.0,0,0,15,0,1.0,1,2,0.0,2,0.0,1.0,0,0.0,0.0,0.0,13.0,,01,Банско,България,001,БЛАГОЕВГРАД,гр.Банско,2676,-,769
010100002,1,1.0,15,143,0,1,3,7,1,0.0,33,200,6,19,4.0,1.0,0.0,0.0,1,3.0,25,0.0,0.0,0,0,7,1,0.0,0,3,0.0,2,0.0,0.0,0,0.0,0.0,0.0,12.0,,01,Банско,България,002,БЛАГОЕВГРАД,гр.Банско,2676,-,716
010100003,0,1.0,11,151,0,0,0,2,1,0.0,30,205,6,17,3.0,0.0,0.0,0.0,3,2.0,21,0.0,0.0,0,0,9,0,0.0,4,4,1.0,2,0.0,1.0,1,0.0,0.0,0.0,22.0,,01,Банско,България,003,БЛАГОЕВГРАД,гр.Банско,2676,-,810
010100004,1,0.0,17,129,4,0,0,9,1,0.0,55,262,10,31,4.0,0.0,0.0,0.0,12,2.0,8,0.0,1.0,0,2,13,0,0.0,4,2,0.0,6,0.0,0.0,2,0.0,0.0,0.0,6.0,,01,Банско,България,004,БЛАГОЕВГРАД,гр.Банско,2676,-,982
010100005,1,0.0,11,105,0,0,10,8,0,0.0,29,153,10,22,1.0,1.0,0.0,0.0,6,4.0,13,0.0,0.0,1,0,7,4,1.0,1,5,0.0,3,0.0,0.0,0,0.0,0.0,0.0,10.0,,01,Банско,България,005,БЛАГОЕВГРАД,гр.Банско,2676,-,659
010100006,1,0.0,8,79,1,0,3,8,1,0.0,22,151,5,11,1.0,0.0,1.0,0.0,4,3.0,27,2.0,0.0,0,0,15,0,0.0,0,2,0.0,2,0.0,0.0,1,0.0,0.0,0.0,6.0,,01,Банско,България,006,БЛАГОЕВГРАД,гр.Банско,2676,-,545
010100007,1,1.0,14,116,0,0,1,3,0,0.0,26,166,7,21,3.0,0.0,0.0,1.0,13,1.0,11,1.0,0.0,1,0,18,0,0.0,1,4,0.0,2,0.0,3.0,1,0.0,0.0,0.0,12.0,,01,Банско,България,007,БЛАГОЕВГРАД,гр.Банско,2676,-,708
010100008,2,0.0,10,99,0,2,0,3,0,1.0,24,176,9,24,3.0,0.0,0.0,0.0,11,1.0,12,1.0,0.0,0,0,26,0,1.0,4,7,0.0,2,0.0,3.0,0,0.0,0.0,0.0,9.0,,01,Банско,България,008,БЛАГОЕВГРАД,гр.Банско,2676,-,684
010100009,2,1.0,25,134,3,0,1,6,0,1.0,40,226,12,19,0.0,1.0,1.0,0.0,15,0.0,8,1.0,0.0,2,1,11,1,1.0,1,6,0.0,20,0.0,0.0,2,0.0,0.0,0.0,14.0,,01,Банско,България,009,БЛАГОЕВГРАД,гр.Банско,2676,-,1015
010100010,0,0.0,13,155,0,0,2,8,1,3.0,22,171,19,25,0.0,2.0,3.0,0.0,3,2.0,11,0.0,0.0,4,0,23,0,2.0,2,4,0.0,7,0.0,0.0,1,0.0,0.0,0.0,19.0,,01,Банско,България,010,БЛАГОЕВГРАД,гр.Банско,2676,-,903
010100011,3,0.0,24,164,1,0,2,5,0,1.0,31,174,12,11,0.0,0.0,0.0,1.0,106,0.0,6,0.0,0.0,0,0,3,0,0.0,16,3,1.0,0,0.0,1.0,0,0.0,0.0,0.0,16.0,,01,Банско,България,011,БЛАГОЕВГРАД,с.Добринище,21498,-,818
010100012,4,1.0,17,128,0,0,7,2,1,0.0,32,162,2,11,0.0,0.0,0.0,0.0,109,1.0,4,0.0,0.0,1,0,18,0,1.0,4,1,1.0,3,0.0,1.0,0,0.0,0.0,0.0,13.0,,01,Банско,България,012,БЛАГОЕВГРАД,с.Добринище,21498,-,920
010100013,1,0.0,17,101,0,0,0,5,0,0.0,26,143,8,3,1.0,0.0,1.0,1.0,94,1.0,2,0.0,0.0,0,0,3,0,0.0,7,1,0.0,3,0.0,0.0,0,0.0,0.0,0.0,19.0,,01,Банско,България,013,БЛАГОЕВГРАД,с.Добринище,21498,-,712
010100014,0,0.0,2,6,0,0,0,0,0,0.0,1,15,0,3,0.0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,1,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.0,,01,Банско,България,014,БЛАГОЕВГРАД,с.Гостун,17381,-,45
010100015,0,0.0,1,23,0,0,0,1,0,0.0,0,19,0,1,0.0,0.0,0.0,0.0,3,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,,01,Банско,България,015,БЛАГОЕВГРАД,с.Осеново,54136,-,73
010100016,1,0.0,15,8,0,0,0,0,0,0.0,3,33,0,10,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,,01,Банско,България,016,БЛАГОЕВГРАД,с.Обидим,53059,-,92
010100017,0,0.0,0,50,0,0,0,0,1,0.0,6,86,0,1,0.0,0.0,0.0,0.0,4,1.0,0,1.0,0.0,0,0,2,0,1.0,0,0,0.0,3,0.0,0.0,0,0.0,0.0,0.0,5.0,,01,Банско,България,017,БЛАГОЕВГРАД,с.Кремен,39614,-,205
010100018,0,0.0,9,27,1,0,0,2,0,1.0,3,77,5,4,0.0,0.0,0.0,0.0,7,0.0,0,0.0,0.0,0,0,5,0,0.0,0,0,0.0,5,0.0,0.0,0,0.0,0.0,0.0,2.0,,01,Банско,България,018,БЛАГОЕВГРАД,с.Места,47857,-,206
010100019,1,0.0,0,13,9,0,0,0,0,0.0,1,22,12,2,0.0,1.0,0.0,1.0,8,0.0,0,0.0,0.0,0,0,0,1,0.0,23,0,1.0,249,0.0,0.0,1,0.0,0.0,0.0,22.0,,01,Банско,България,019,БЛАГОЕВГРАД,с.Филипово,76090,-,532
010200001,0,1.0,12,143,9,2,0,3,0,0.0,21,91,4,12,0.0,0.0,0.0,0.0,23,0.0,4,0.0,0.0,0,0,4,0,1.0,3,0,1.0,32,0.0,0.0,1,0.0,0.0,0.0,16.0,,02,Белица,България,001,БЛАГОЕВГРАД,гр.Белица,3504,-,632
010200002,0,0.0,8,127,0,0,2,1,0,0.0,3,236,9,1,0.0,0.0,0.0,0.0,39,0.0,3,0.0,0.0,0,0,15,0,0.0,0,1,0.0,19,0.0,0.0,1,0.0,0.0,0.0,27.0,,02,Белица,България,002,БЛАГОЕВГРАД,гр.Белица,3504,-,781
010200003,0,0.0,9,152,18,0,1,0,0,0.0,9,121,6,7,1.0,0.0,0.0,0.0,18,0.0,8,0.0,0.0,1,1,9,0,0.0,60,3,0.0,89,0.0,0.0,0,0.0,0.0,0.0,10.0,,02,Белица,България,003,БЛАГОЕВГРАД,гр.Белица,3504,-,778
010200004,0,0.0,11,103,11,0,2,3,0,0.0,9,91,7,1,0.0,0.0,0.0,0.0,17,0.0,2,0.0,0.0,0,0,11,0,0.0,56,1,0.0,104,0.0,0.0,1,0.0,0.0,0.0,9.0,,02,Белица,България,004,БЛАГОЕВГРАД,гр.Белица,3504,-,642
010200005,0,0.0,0,7,4,0,0,4,0,0.0,0,31,0,2,0.0,0.0,0.0,0.0,1,0.0,0,0.0,1.0,0,0,0,0,0.0,20,0,1.0,393,1.0,0.0,1,0.0,0.0,0.0,28.0,,02,Белица,България,005,БЛАГОЕВГРАД,с.Дагоново,20064,-,604
010200006,0,0.0,1,10,11,0,2,0,0,0.0,1,62,1,0,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0,0.0,2,0,2.0,374,1.0,0.0,1,0.0,0.0,0.0,6.0,,02,Белица,България,006,БЛАГОЕВГРАД,с.Краище,39270,-,704
010200007,0,0.0,0,10,4,0,1,0,0,0.0,2,23,1,0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0.0,1,0,0,0,0.0,1,0,0.0,387,1.0,1.0,0,0.0,0.0,0.0,5.0,,02,Белица,България,007,БЛАГОЕВГРАД,с.Краище,39270,-,672
010200008,0,0.0,1,3,20,0,0,0,0,0.0,4,45,0,0,0.0,0.0,0.0,0.0,3,0.0,0,0.0,0.0,1,0,0,0,0.0,0,0,0.0,341,2.0,0.0,3,0.0,0.0,0.0,10.0,,02,Белица,България,008,БЛАГОЕВГРАД,с.Краище,39270,-,633
010200009,0,0.0,2,6,25,0,0,0,0,0.0,0,48,0,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0,0,0,0.0,0,0,0.0,566,0.0,0.0,0,0.0,0.0,0.0,23.0,,02,Белица,България,009,БЛАГОЕВГРАД,с.Горно Краище,77596,-,939
010200010,0,0.0,0,1,7,0,0,0,0,0.0,1,2,0,0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0,0.0,133,0.0,1.0,0,0.0,0.0,0.0,2.0,,02,Белица,България,010,БЛАГОЕВГРАД,с.Лютово,44762,-,184
010200011,0,1.0,0,31,2,0,1,0,0,0.0,2,40,0,0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,2,0,1,0,0.0,1,1,1.0,318,0.0,0.0,1,0.0,0.0,0.0,8.0,,02,Белица,България,011,БЛАГОЕВГРАД,с.Бабяк,2107,-,639
010200012,0,0.0,0,1,0,0,0,0,0,0.0,1,1,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,21,0.0,0.0,1,0.0,0.0,0.0,6.0,,02,Белица,България,012,БЛАГОЕВГРАД,с.Гълъбово,15638,-,45
010200013,0,0.0,0,2,0,0,0,0,0,0.0,2,5,0,0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0,0.0,158,1.0,0.0,0,0.0,0.0,0.0,0.0,,02,Белица,България,013,БЛАГОЕВГРАД,с.Кузьово,40453,-,196
010200014,0,0.0,1,7,0,0,0,0,0,0.0,1,17,0,0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0,0,0,0,0.0,0,0,0.0,102,0.0,0.0,3,0.0,0.0,0.0,5.0,,02,Белица,България,014,БЛАГОЕВГРАД,с.Палатик,59330,-,167
010200015,1,0.0,0,9,0,0,0,0,0,0.0,1,8,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,0,0.0,0,0,1.0,144,0.0,1.0,0,0.0,0.0,0.0,7.0,,02,Белица,България,015,БЛАГОЕВГРАД,с.Черешово,80649,-,240
