sid;ГЕРБ-СДС;ДПС;ПП/ДБ;ВЪЗР;БСП;ИТН;ВЕЛИЧИЕ;МЕЧ;npn;invalid;СИНЯ БЪЛГАРИЯ;СОЛИДАРНА БГ;ЦЕНТЪР;ВМРО БНД;ЛЕВИЦАТА;БВ;ЗЕЛЕНО ДВИЖЕНИЕ;ГЛАС НАРОДЕН;НИЕ ИДВАМЕ;ЗЕЛЕНИТЕ;ПРЯКА ДЕМОКРАЦИЯ;ЕДИНЕНИЕ;НИЕ ГРАЖДАНИТЕ;БЪЛГАРСКИ ГЛАСЪ;ГРАЖДАНСКИ БЛОК;НП ИСИ;НЕУТРАЛНА БЪЛГАРИЯ;ОБЩЕСТВО ЗА НОВА БГ;КОАЛИЦИЯ НА РОЗАТА;БНС-НД;ЗА ВЕЛИКА БЪЛГАРИЯ;БСДД;БНО;station_type;municipality;country_name;station;region_name;ekatte;place;address;municipality_name;eligible_voters
010100004;92;0;36;17;46;8;7;5;16;4;1;4;3;1;0;1;1;1;0;0;0;1;0;1;2;1;0;0;0;0;1;0;0;;1;България;4;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО КЛУБ НА ПЕНСИОНЕРА, ул.  ЦАР СИМЕОН  №54;Банско;579
010100006;68;6;30;19;28;11;10;5;8;6;3;3;7;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;;1;България;6;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3;Банско;467
010100007;112;0;20;24;28;6;11;4;22;1;5;2;7;5;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;;1;България;7;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3;Банско;566
010100010;98;3;39;31;28;17;15;6;11;3;3;3;7;1;0;1;0;4;0;1;1;0;0;2;2;0;0;0;0;0;1;0;0;;1;България;10;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3;Банско;699
010100013;132;2;36;46;26;23;14;12;14;16;1;4;4;5;1;2;0;0;0;0;1;2;0;0;0;1;0;0;0;0;1;2;0;;1;България;13;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО НАЧАЛНО УЧИЛИЩЕ  СВ. ПАИСИЙ ХИЛИНДАРСКИ , ПЛ.  ВЪЗРАЖДАНЕ  №3;Банско;859
010100002;90;1;34;23;36;16;7;2;14;3;1;6;5;2;2;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;2;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31;Банско;540
010100003;91;3;15;20;22;13;6;5;16;6;2;6;2;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;;1;България;3;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31;Банско;506
010100008;85;3;32;25;30;12;7;4;10;0;1;2;8;4;1;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;;1;България;8;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31;Банско;494
010100009;89;2;34;27;20;14;10;3;13;4;1;4;8;5;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;България;9;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО ПЛТГ  Н. ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ.  БЪЛГАРИЯ  №31;Банско;619
010100001;103;1;53;33;28;22;4;9;10;12;1;2;8;4;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;;1;България;1;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б;Банско;608
010100011;135;3;16;18;9;5;5;10;5;27;0;1;1;1;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;;1;България;11;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б;Банско;687
010100012;118;1;37;21;28;22;5;6;8;5;0;1;6;1;0;0;0;2;1;1;0;0;1;3;0;0;0;0;1;0;0;0;0;;1;България;12;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО СОУ  НЕОФИТ РИЛСКИ , УЛ.  ТОДОР АЛЕКСАНДРОВ  №9Б;Банско;646
010100005;88;3;33;27;35;11;7;1;11;3;5;5;2;0;0;3;0;1;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;;1;България;5;01. БЛАГОЕВГРАД;2676;гр.Банско;гр. БАНСКО ЧИТАЛИЩЕ  НИКОЛА ВАПЦАРОВ , ПЛ.  НИКОЛА ВАПЦАРОВ  №14;Банско;477
010100017;115;2;38;20;18;8;3;9;10;9;6;3;4;0;0;0;0;1;0;0;0;1;0;5;1;0;1;0;0;0;0;1;0;;1;България;17;01. БЛАГОЕВГРАД;21498;гр.Добринище;гр. ДОБРИНИЩЕ КЛУБ НА ПЕНСИОНЕРА, УЛ.  ТЪРГОВСКА  №16;Банско;594
