sid,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ДПС-Доган,ИТН,МЕЧ,ВЕЛИЧИЕ,npn,invalid,СИНЯ БЪЛГАРИЯ,БВ,РУСОФИЛИ ЗА БГ,ПРЯКА ДЕМОКРАЦИЯ,ГЛАС НАРОДЕН,"РБ, ССД и ЗС",ЗЕЛЕНИТЕ,АТАКА,МОЯ СТРАНА БЪЛГАРИЯ,НП ИСИ,ПРАВОТО,ДОСТ,БНС-НД,КОЙ,Чавдар Попов (нез.),Булгари,БСДД,СПБП,БТР,БРИГАДА,region,municipality,admin_reg,station,region_name,municipality_name,place,ekatte,address,eligible_voters
010100002,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,01,00,002,01. БЛАГОЕВГРАД,Банско,гр.Банско,2676,"ГР.БАНСКО, ПЛТГ Н.ВАПЦАРОВ  (ГОРСКИ ТЕХНИКУМ), УЛ. БЪЛГАРИЯ  №31",545
010100016,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,01,00,016,01. БЛАГОЕВГРАД,Банско,гр.Добринище,21498,"ГР.ДОБРИНИЩЕ, ОСНОВНО УЧИЛИЩЕ  СВ. КЛИМЕНТ ОХРИДСКИ , УЛ.  ИВАН ГАЛЧЕВ  №21",442
010200002,-1,0,0,5,0,0,0,0,0,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,002,01. БЛАГОЕВГРАД,Белица,гр.Белица,3504,"ГР.БЕЛИЦА, ГИМНАЗИЯ  Н.Й. ВАПЦАРОВ  , УЛ. ДИМО ХАДЖИДИМОВ ",831
010200003,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,003,01. БЛАГОЕВГРАД,Белица,гр.Белица,3504,"ГР.БЕЛИЦА, ИНФОРМАЦИОНЕН ЦЕНТЪР, УЛ. ГЕОРГИ АНДРЕЙЧИН  № 11",708
010200004,2,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,004,01. БЛАГОЕВГРАД,Белица,гр.Белица,3504,"ГР.БЕЛИЦА, СОЦИАЛЕН ПАТРОНАЖ, УЛ. ВЛАДИМИР ПОПТОМОВ ",553
010200005,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,005,01. БЛАГОЕВГРАД,Белица,с.Дагоново,20064,"С.ДАГОНОВО, УЧИЛИЩЕ",621
010200007,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,007,01. БЛАГОЕВГРАД,Белица,с.Краище,39270,"С.КРАИЩЕ, МАГ.БИМБ.МАХАЛА-БАРАКИТЕ, УЛ.  ДВАДЕСЕТ И ПЪРВА  № 4",701
010200008,0,0,0,-2,0,-2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,008,01. БЛАГОЕВГРАД,Белица,с.Краище,39270,"С.КРАИЩЕ, ДЕТСКА ГРАДИНА, УЛ. ЕДИНАДЕСЕТА  №18",646
010200009,0,0,0,7,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,009,01. БЛАГОЕВГРАД,Белица,с.Горно Краище,77596,"С.ГОРНО КРАИЩЕ, УЧИЛИЩЕ",884
010200010,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,010,01. БЛАГОЕВГРАД,Белица,с.Лютово,44762,"С.ЛЮТОВО, КМЕТСТВО",159
010200011,0,0,0,4,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,02,00,011,01. БЛАГОЕВГРАД,Белица,с.Бабяк,2107,"С.БАБЯК, УЧИЛИЩЕ",599
010300007,-1,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,007,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА №11  ЗДРАВЕЦ , УЛ. ЛАЛЕ  №011",642
010300009,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,009,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ЦСОП  СВ. ПАИСИЙ ХИЛЕНДАРСКИ , УЛ. СВОБОДА  №3",678
010300015,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,015,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, V-то СУ ГЕОРГИ ИЗМИРЛИЕВ , УЛ. ХРИСТО ЧЕРНОПЕЕВ  №16",475
010300018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,018,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, НХГ СВ.СВ.КИРИЛ И МЕТОДИЙ , УЛ. ЦАНКО ЦЕРКОВСКИ  №002",596
010300025,1,0,1,0,0,0,0,1,0,0,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,025,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, НАРОДНО ЧИТАЛИЩЕ  НИКОЛА Й. ВАПЦАРОВ-1866 , ПЛ.  МАКЕДОНИЯ  №1",589
010300030,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,030,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ІІІ-то ОСН.У-ЩЕ ДИМИТЪР ТАЛЕВ , БУЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ  №13",699
010300036,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,036,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ІІІ-то ОСН.У-ЩЕ ДИМИТЪР ТАЛЕВ , БУЛ. СВ. СВ. КИРИЛ И МЕТОДИЙ  №13",721
010300043,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,01,03,00,043,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, VІІ-мо СУ КУЗМАН ШАПКАРЕВ , УЛ. ИЛИНДЕН  №13",723
010300071,-1,0,1,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,071,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ІХ-то ОСН.У-ЩЕ ПЕЙО ЯВОРОВ  , ЖК АЛЕН МАК ",586
010300083,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,083,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ХІ-то ОСН.У-ЩЕ ХРИСТО БОТЕВ , ЖК ЕЛЕНОВО ",590
010300108,0,0,0,0,0,0,0,0,-1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,108,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ДЕТСКА ГРАДИНА  УСМИВКА , УЛ. ОСВОБОЖДЕНИЕ  №09",584
010300113,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,113,01. БЛАГОЕВГРАД,Благоевград,гр.Благоевград,4279,"ГР.БЛАГОЕВГРАД, ХІ-то ОСН.У-ЩЕ ХРИСТО БОТЕВ , ЖК ЕЛЕНОВО ",564
010300137,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,03,00,137,01. БЛАГОЕВГРАД,Благоевград,с.Логодаж,68792,"С.ЛОГОДАЖ, ДЕТСКАТА ГРАДИНА /УЧИЛИЩЕТО/",6085
011100010,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,11,00,010,01. БЛАГОЕВГРАД,Гоце Делчев,гр.Гоце Делчев,17395,"ГР.ГОЦЕ ДЕЛЧЕВ, ІІ-то ОСН.УЧИЛИЩЕ  ГОЦЕ ДЕЛЧЕВ , УЛ. ГОЦЕ ДЕЛЧЕВ  №13",578
011100031,0,0,0,30,0,28,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,11,00,031,01. БЛАГОЕВГРАД,Гоце Делчев,с.Буково,7003,"С.БУКОВО, ОСНОВНО УЧИЛИЩЕ  ИВАН ВАЗОВ ",869
011100033,0,0,-1,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,11,00,033,01. БЛАГОЕВГРАД,Гоце Делчев,с.Брезница,6306,"С.БРЕЗНИЦА, ЧИТАЛИЩЕ  П.Р.СЛАВЕЙКОВ  - МЛАДЕЖКИ ДОМ, УЛ. НЕВРОКОП  №1",697
011100034,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,11,00,034,01. БЛАГОЕВГРАД,Гоце Делчев,с.Брезница,6306,"С.БРЕЗНИЦА, ОСНОВНО УЧИЛИЩЕ  СВ.СВ.КИРИЛ И МЕТОДИЙ , УЛ. ЧАРКА  №23",841
011300001,26,-1,-5,106,5,-4,0,-3,-1,-1,-20,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0.0,0,0,0,0,0,01,13,00,001,01. БЛАГОЕВГРАД,Гърмен,с.Гърмен,18366,"С.ГЪРМЕН, КАФЕ  БИСТРОТО ",823
011300002,0,0,0,1,0,0,0,0,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,002,01. БЛАГОЕВГРАД,Гърмен,с.Гърмен,18366,"С.ГЪРМЕН, ЧИТАЛИЩЕ  ИСКРА ",708
011300004,0,0,0,0,0,0,0,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,004,01. БЛАГОЕВГРАД,Гърмен,с.Горно Дряново,16763,"С.ГОРНО ДРЯНОВО, ОУ ОТЕЦ ПАИСИЙ ",860
011300009,0,0,-8,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,01,13,00,009,01. БЛАГОЕВГРАД,Гърмен,с.Дъбница,24267,"С.ДЪБНИЦА, ЧИТАЛИЩЕ  ЗОРА ",954
011300014,18,-3,0,0,-14,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,014,01. БЛАГОЕВГРАД,Гърмен,с.Огняново,53326,"С.ОГНЯНОВО, ПЕНСИОНЕРСКИ КЛУБ",647
011300016,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,016,01. БЛАГОЕВГРАД,Гърмен,с.Ореше,53727,"С.ОРЕШЕ, БИВШЕТО УЧИЛИЩЕ",157
011300017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,017,01. БЛАГОЕВГРАД,Гърмен,с.Осиково,54184,"С.ОСИКОВО, ЧИТАЛИЩЕТО",299
011300018,10,0,0,1,0,1,-1,-1,0,0,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,01,13,00,018,01. БЛАГОЕВГРАД,Гърмен,с.Рибново,62640,"С.РИБНОВО, КМЕТСТВОТО",909
