,0
0,010300009
1,010300120
2,010300127
3,010300132
4,011100030
5,011100034
6,011300008
7,011300015
8,012800007
9,012800008
10,013300018
11,013300019
12,013300030
13,013300031
14,013300032
15,013300033
16,013300040
17,013300064
18,013300085
19,013700016
20,013700021
21,014000046
22,014000065
23,014200001
24,014200003
25,014200013
26,014200022
27,014900004
28,014900005
29,014900006
30,015200004
31,015300002
32,015300003
33,015300005
34,015300006
35,015300011
36,020100020
37,020100025
38,020100029
39,020100042
40,020100043
41,020400077
42,020400079
43,020400148
44,020600006
45,020600030
46,020800018
47,020900021
48,020900024
49,020900028
50,020900038
51,020900047
52,021300008
53,021500027
54,021700032
55,021700040
56,021700045
57,021800027
58,022100011
59,022100013
60,022300004
61,022300008
62,022300027
63,030100004
64,030100012
65,030100015
66,030200005
67,030200011
68,030200033
69,030400013
70,030400014
71,030500006
72,030601075
73,030601076
74,030603275
75,030604300
76,030900011
77,030900012
78,030900013
79,030900022
80,031300004
81,031300005
82,031300006
83,031300008
84,031300009
85,031300010
86,031300011
87,031300012
88,031600025
89,032400012
90,032400017
91,032400019
92,032400026
93,032400030
94,032400032
95,032400033
96,032400035
97,032400040
98,040400081
99,040400098
100,040400101
101,040600050
102,040600071
103,040600073
104,040600077
105,040600079
106,041300018
107,041400002
108,041400005
109,042200021
110,042200027
111,042200028
112,042200036
113,042200040
114,042600004
115,042600008
116,042600019
117,042800001
118,042800041
119,042800044
120,042800070
121,043100006
122,043100007
123,043100016
124,043100019
125,043200001
126,043200006
127,050600010
128,050600012
129,050900069
130,050900070
131,050900071
132,050900072
133,050900073
134,050900074
135,050900075
136,050900078
137,050900080
138,050900083
139,050900094
140,050900102
141,050900105
142,050900108
143,050900109
144,050900110
145,050900118
146,051600015
147,051600022
148,052200011
149,053000005
150,053300008
151,053700004
152,053700009
153,053700010
154,060500004
155,060500007
156,060500008
157,060800019
158,060800024
159,060800039
160,061000098
161,061000103
162,061000105
163,062000013
164,062000019
165,062000021
166,062000022
167,062000026
168,062100007
169,062100014
170,062700016
171,062700027
172,062700036
173,062800011
174,063200008
175,063200010
176,063500006
177,071200014
178,072900001
179,072900040
180,072900055
181,072900056
182,080300005
183,080300018
184,080300019
185,081200013
186,081200042
187,081500002
188,081500003
189,081500006
190,081500010
191,081500017
192,081500023
193,081500024
194,081500026
195,081500027
196,081500032
197,081500034
198,081500040
199,081500041
200,081500052
201,081500055
202,081500056
203,081500058
204,081500061
205,081700003
206,081700013
207,082700009
208,082700010
209,082700017
210,082700020
211,082800048
212,082800078
213,082800081
214,090200009
215,090200024
216,091400005
217,091400014
218,091400020
219,091400036
220,091400052
221,091400065
222,091400066
223,091500034
224,091500057
225,091500068
226,091600057
227,091600060
228,091600084
229,091600088
230,091600112
231,091600124
232,091600126
233,091600154
234,092100016
235,092100017
236,092100020
237,092100039
238,092100047
239,092100051
240,093500006
241,093500016
242,104800003
243,104800055
244,104800059
245,104800070
246,111700006
247,111800019
248,111800034
249,111800037
250,111800052
251,111800062
252,111800071
253,111800075
254,111800079
255,111900008
256,111900011
257,111900013
258,111900021
259,111900022
260,113300005
261,113300006
262,113300007
263,113400049
264,113600001
265,113800009
266,113800011
267,120200038
268,120400001
269,120400003
270,120400004
271,120400005
272,120400013
273,120400015
274,120400018
275,121100005
276,121100012
277,121100014
278,121100015
279,121100016
280,121100019
281,121200007
282,122400001
283,122400021
284,122400027
285,122400035
286,122400047
287,122600001
288,122600007
289,122900046
290,122900055
291,122900058
292,122900059
293,122900064
294,122900075
295,122900077
296,122900078
297,123800005
298,123800007
299,123800009
300,130300009
301,130600012
302,130600013
303,130800008
304,130800043
305,130800049
306,130800050
307,130800053
308,131400002
309,131900043
310,131900060
311,131900076
312,131900085
313,131900086
314,131900154
315,131900156
316,131900172
317,131900180
318,131900194
319,131900196
320,132100005
321,132100006
322,132400007
323,132400008
324,132400016
325,132900001
326,132900002
327,132900014
328,132900025
329,133200003
330,143200063
331,143200072
332,143200090
333,143600012
334,150800010
335,150800014
336,150800016
337,150800017
338,151000001
339,151000003
340,151000012
341,151000014
342,151000024
343,151000031
344,151100011
345,151100015
346,151100016
347,151100017
348,151100018
349,151600008
350,151600009
351,151600015
352,151600016
353,151600029
354,152100005
355,152100009
356,152100011
357,152300004
358,152300010
359,152400203
360,152400216
361,152400217
362,152400220
363,152400223
364,152400224
365,152700001
366,152700009
367,153700001
368,153700002
369,153700009
370,153700010
371,153700011
372,153700013
373,153700018
374,153900006
375,153900007
376,153900012
377,153900013
378,162201081
379,162201084
380,162201089
381,162202002
382,162202003
383,162202024
384,162202025
385,162202026
386,162202027
387,162202030
388,162202033
389,162202037
390,162202038
391,162202040
392,162202043
393,162202046
394,162202050
395,162202052
396,162202053
397,162204015
398,162204033
399,170100056
400,170100101
401,170100103
