,ACF HR 0721
0,010100008
1,010100016
2,010100020
3,010200005
4,010200008
5,010200016
6,010300006
7,010300020
8,010300127
9,011100029
10,011300018
11,011300020
12,012800007
13,013300040
14,013300046
15,013300052
16,013300057
17,013300085
18,014000030
19,014000053
20,014000062
21,014200014
22,014900005
23,014900013
24,015200006
25,015200015
26,015300010
27,020400057
28,020400073
29,020400105
30,020400316
31,020400320
32,020600034
33,020600038
34,020800011
35,020800015
36,020800017
37,020900036
38,020900055
39,021300008
40,021300016
41,021500014
42,021500027
43,021700034
44,021800017
45,021800042
46,021800051
47,022300023
48,030100002
49,030100010
50,030200011
51,030200013
52,030200029
53,030200035
54,030500003
55,030601073
56,030601074
57,030601077
58,030601078
59,030602400
60,030603276
61,030604342
62,030605359
63,030605373
64,030900006
65,030900022
66,031300007
67,031300016
68,031300018
69,031300028
70,032400022
71,032400025
72,032400026
73,032400038
74,032600011
75,040400098
76,040400108
77,040400118
78,040400133
79,040400138
80,040400139
81,040400141
82,040600079
83,041300011
84,041300015
85,041300024
86,041400007
87,042200010
88,042200021
89,042200037
90,042600006
91,042600019
92,042800010
93,043100012
94,043100020
95,043100023
96,043100030
97,043200006
98,043200007
99,050100010
100,050900092
101,050900109
102,052200003
103,052200008
104,053000002
105,053700007
106,060800032
107,061000086
108,061000089
109,061000092
110,061000102
111,061000103
112,062100012
113,062100015
114,062700013
115,062700017
116,062700020
117,062700028
118,063200003
119,063200015
120,063500006
121,063500007
122,070500085
123,070500095
124,071200016
125,072900051
126,072900057
127,072900058
128,073500017
129,080300018
130,080300020
131,081200018
132,081500023
133,081500056
134,081500058
135,081700031
136,082000002
137,082700013
138,082800078
139,082800079
140,082800127
141,090200028
142,091400020
143,091500060
144,091500070
145,091500076
146,091600057
147,091600139
148,091600146
149,091600147
150,092100012
151,092100029
152,092100033
153,092100049
154,093500017
155,093500021
156,100400015
157,100400017
158,100400018
159,100500005
160,102700002
161,102700008
162,102900016
163,102900058
164,102900073
165,103100003
166,104800001
167,110200005
168,111700003
169,111700004
170,111800034
171,111800041
172,111800052
173,111800061
174,111800062
175,111800065
176,111800078
177,111800079
178,111800096
179,111900007
180,111900012
181,111900014
182,113300008
183,113300018
184,113400026
185,113400061
186,113400062
187,113800012
188,113800013
189,120200030
190,120400004
191,122400018
192,122400035
193,122600004
194,122900055
195,122900060
196,122900061
197,122900076
198,123600008
199,123800006
200,130600006
201,130800012
202,130800025
203,130800045
204,131900153
205,131900166
206,131900187
207,131900192
208,131900193
209,131900197
210,131900200
211,132000016
212,132000021
213,132100023
214,132400007
215,132400010
216,132400016
217,132900018
218,133200003
219,133900004
220,141900003
221,141900008
222,143200102
223,143200104
224,143200134
225,143600028
226,143600042
227,151000014
228,151000026
229,152300006
230,152300008
231,152400201
232,152400210
233,152400213
234,153700001
235,153700010
236,153900017
237,162201088
238,162202007
239,162202010
240,162204047
241,170100093
242,170700003
243,171200014
244,171300041
245,171300045
246,171500008
247,172300002
248,172300019
249,172300023
250,172300024
251,172300034
252,172600004
253,173300015
254,173700020
255,173900010
256,174100018
257,174100024
258,181400005
259,181400006
260,181400018
261,181400028
262,181400029
263,181400030
264,181600001
265,182600025
266,190300005
267,190300010
268,190400019
269,190500013
270,190800006
271,190800015
272,191300005
273,192700030
274,192700094
275,192700181
276,200700319
277,201000433
278,201000434
279,201000436
280,203100123
281,203100135
282,203100183
283,203400710
284,211600008
285,211600037
286,211600051
287,211600062
288,211600063
289,212000020
290,212000021
291,212000052
292,212000126
293,212000148
294,212000167
295,212000168
296,212400007
297,220900009
298,220900012
299,221100006
300,221100019
301,221100021
302,221600021
303,221800016
304,222700007
305,222700020
306,222700025
307,234608004
308,234608010
309,234608035
310,234610050
311,234610068
312,234610071
313,234610091
314,234610095
315,234616004
316,234616015
317,234616048
318,234616050
319,244614030
320,244614077
321,244622012
322,254611076
323,254624012
324,260700016
325,260700019
326,260700028
327,260700033
328,260900009
329,261000005
330,261000012
331,261600006
332,261700023
333,261700032
334,261800005
335,261800020
336,262000010
337,262600021
338,263400011
339,263400014
340,263900006
341,263900039
342,263900061
343,264300031
344,264500002
345,270400010
346,270400015
347,270400018
348,270400021
349,270700020
350,271200061
351,271200064
352,272200008
353,272200012
354,272200016
355,272300001
356,272300004
357,272400010
358,272400014
359,272400015
360,272700018
361,273100021
362,273100151
363,273100152
364,273100165
365,273100166
366,273100169
367,273100171
368,273100172
369,273100194
370,273600004
371,273600022
372,273600031
373,273600036
374,273600037
375,273600038
376,273700001
377,273700006
378,280200032
379,282200016
380,282200035
381,282200042
382,282400025
383,282400027
384,283500057
385,283500072
386,283500074
387,290900075
388,290900076
389,290900078
390,290900089
391,291100007
392,291100020
393,291100021
394,291700005
395,291700011
396,291900011
397,292800021
398,292800023
399,292800027
400,292800035
401,292800040
402,292900006
403,293200007
404,293200019
405,293200020
406,293400144
407,301000012
408,301100007
409,301800005
410,302100002
411,302100003
412,302200023
413,302300012
414,302300014
415,302300018
416,302300019
417,302300021
418,303000111
419,303000116
420,303000121
421,310300007
422,310700023
423,312200025
424,312500023
425,312500026
426,312500039
427,010200018
428,010300007
429,010300008
430,010300009
431,010300010
432,010300099
433,010300131
434,011100037
435,011300004
436,014000046
437,014200005
438,015300009
439,015300015
440,020100020
441,020100035
442,020100050
443,020400083
444,020400261
445,020400262
446,020600030
447,020800003
448,020800013
449,020900032
450,020900050
451,021700001
452,021700014
453,021700043
454,021800034
455,022300006
456,030100008
457,030200017
458,030200018
459,030600385
460,030602395
461,030602397
462,030900005
463,030900013
464,031300024
465,031600003
466,031600011
467,031600017
468,032600009
469,040400111
470,040400115
471,040600053
472,040600081
473,040600082
474,041300018
475,041300023
476,041300025
477,041300026
478,041400010
479,042200027
480,042200040
481,042800056
482,042800058
483,042800065
484,043100007
485,043200008
486,050100013
487,050100014
488,050900083
489,050900090
490,050900100
491,050900104
492,050900108
493,050900115
494,051600012
495,051600024
496,053000005
497,061000081
498,061000087
499,061000088
500,061000093
501,061000098
502,062000016
503,062100004
504,062100007
505,062100009
506,063500005
507,070500084
508,070500087
509,070500101
510,071200008
511,072900008
512,072900031
513,072900036
514,072900040
515,072900041
516,072900052
517,072900054
518,080300027
519,081200037
520,081200044
521,081500016
522,081500037
523,081500046
524,081500049
525,081500052
526,081500063
527,081500064
528,081700016
529,081700025
530,082000006
531,082700012
532,082700029
533,082700031
534,090200019
535,090200024
536,090200034
537,090800008
538,090800010
539,091400013
540,091400016
541,091400025
542,091400047
543,091500053
544,091500074
545,091600080
546,091600084
547,091600114
548,091600116
549,091600120
550,091600143
551,091600145
552,092100051
553,093500029
554,102900001
555,102900084
556,102900099
557,102900103
558,104800072
559,111800037
560,111800042
561,111800050
562,111800059
563,111800072
564,111900011
565,111900015
566,111900016
567,111900023
568,111900025
569,113300005
570,113400054
571,113400065
572,113400066
573,113600006
574,113800007
575,113800010
576,113800011
577,120200020
578,120200029
579,120400003
580,120400006
581,121100015
582,122400017
583,122400028
584,122400038
585,122400039
586,122900059
587,122900065
588,122900068
589,123800005
590,130600013
591,130800024
592,130800041
593,130800043
594,130800048
595,131900151
596,131900154
597,131900198
598,133200008
599,143200035
600,143200090
601,143200103
602,143200122
603,143200130
604,143600031
605,145100004
606,151000003
607,151600008
608,152400208
609,152400215
610,152400228
611,152700008
612,153700011
613,153700018
614,153900016
615,162201081
616,162202045
617,162206073
618,170100101
619,170100104
620,170700008
621,170700011
622,171200006
623,171700020
624,172300037
625,172500027
626,172600007
627,172600013
628,174100019
629,174200011
630,181400031
631,181700011
632,182600007
633,182600014
634,182600018
635,182900007
636,182900012
637,191300016
638,191300018
639,192700171
640,192700210
641,193300007
642,200100209
643,200700315
644,200700323
645,201000411
646,201500502
647,201500508
648,203200604
649,211100001
650,211100006
651,211100023
652,211100026
653,211100027
654,211600040
655,212000127
656,212000141
657,212000165
658,212000175
659,220200014
660,220900016
661,221100012
662,221100015
663,223100043
664,223100061
665,223800006
666,234616002
667,254611067
668,254611073
669,254611074
670,254619132
671,254620045
672,260700024
673,260900007
674,261600011
675,261700031
676,262000018
677,262000021
678,262000029
679,262000030
680,262500019
681,263900037
682,264300029
683,264300035
684,270400020
685,270700012
686,270700017
687,271200062
688,271200063
689,271200071
690,272200010
691,272400013
692,272700011
693,272700015
694,272700017
695,272700023
696,272700032
697,273100132
698,273100133
699,273100155
700,273100157
701,273100161
702,273100162
703,273100163
704,273100168
705,273100183
706,273100202
707,273600025
708,273600033
709,282200009
710,282200040
711,282200049
712,282300005
713,282400032
714,282400033
715,282400034
716,282400047
717,283500054
718,283500071
719,283500080
720,283500087
721,283500088
722,283500097
723,290900060
724,290900061
725,290900080
726,290900081
727,291100016
728,291100022
729,291800003
730,291800007
731,292800022
732,292900011
733,292900015
734,293000026
735,293300021
736,293300033
737,293300044
738,293400043
739,293400055
740,293400129
741,293400149
742,300700002
743,301100006
744,301100008
745,301100020
746,301800021
747,302200035
748,302300020
749,303000010
750,303000124
751,312200023
752,312500024
753,312500040
754,312500046
755,010200002
756,010200012
757,010300138
758,011100018
759,011100040
760,011300001
761,011300003
762,012800009
763,013300045
764,013300072
765,014000033
766,014000065
767,014200001
768,014200013
769,014200022
770,015200004
771,020100025
772,020100026
773,020100029
774,020100039
775,020400078
776,020400148
777,020600012
778,020600014
779,020800012
780,020800016
781,020900029
782,020900038
783,020900039
784,020900047
785,020900051
786,020900053
787,021500029
788,021700010
789,021700032
790,021700040
791,021800001
792,022100011
793,022300004
794,022300009
795,022300012
796,022300024
797,030100013
798,030200016
799,030200019
800,030200025
801,030200036
802,030600384
803,030603273
804,030604298
805,030605362
806,030900009
807,030900011
808,030900014
809,031300006
810,031300017
811,031300022
812,031400011
813,031600023
814,032400024
815,032400029
816,032400035
817,032400039
818,040600054
819,040600071
820,041300020
821,041300029
822,041400006
823,041400011
824,042200028
825,042200042
826,042800030
827,042800044
828,043100008
829,043100009
830,043100013
831,043100016
832,043100021
833,050900086
834,050900111
835,051600019
836,051600020
837,053300002
838,053300009
839,060800025
840,060800026
841,061000084
842,062000026
843,062100008
844,062100010
845,062100013
846,062100014
847,062100017
848,062700025
849,062700029
850,062700035
851,062700036
852,070500096
853,070500103
854,070500105
855,070500106
856,072900001
857,080300028
858,081200015
859,081200027
860,081500005
861,081500015
862,081500017
863,081500031
864,081500033
865,081500034
866,081500048
867,081700023
868,081700026
869,081700027
870,082000003
871,082700020
872,082700024
873,082700026
874,090200009
875,090800024
876,090800030
877,091400002
878,091400006
879,091400007
880,091400014
881,091400028
882,091400051
883,091400068
884,091500022
885,091600037
886,091600069
887,091600112
888,100500009
889,102900068
890,102900078
891,102900092
892,104800056
893,111700008
894,111800055
895,111800058
896,111800066
897,111900013
898,111900022
899,113300001
900,113300002
901,113300007
902,113300009
903,113300012
904,113300014
905,113300015
906,113400025
907,113600005
908,113600007
909,120200019
910,120200021
911,120400015
912,121200010
913,121400004
914,122400031
915,122900057
916,122900070
917,130800008
918,130800020
919,130800051
920,131400010
921,131900085
922,132100005
923,132100006
924,132900014
925,132900025
926,140800019
927,143200063
928,143200124
929,143200133
930,143600044
931,151600015
932,151600029
933,152400230
934,152700010
935,153700036
936,162202046
937,162204072
938,170100071
939,171500005
940,172600039
941,173700019
942,181100012
943,181400003
944,181700005
945,182600066
946,190300006
947,190800004
948,192700209
949,193300004
950,193300011
951,200100205
952,201000408
953,201000435
954,203100157
955,203100168
956,203100170
957,203400713
958,212000116
959,212000117
960,212000133
961,212000171
962,212400010
963,220900013
964,221100016
965,221600025
966,221800012
967,223100052
968,223100055
969,223100060
970,223100076
971,223800013
972,244607074
973,244607075
974,254611056
975,254611060
976,260700037
977,260700040
978,261000015
979,261600016
980,262000011
981,262000012
982,262000016
983,262000028
984,262600022
985,263900033
986,263900038
987,263900046
988,264300011
989,264300034
990,270400004
991,270400012
992,270400017
993,270700019
994,273100159
995,273100173
996,273100174
997,273100195
998,282200029
999,282400029
1000,282400031
1001,283500060
1002,283500077
1003,290900052
1004,290900087
1005,291100009
1006,291100019
1007,291700014
1008,291700020
1009,292800028
1010,292800041
1011,292800043
1012,293000008
1013,293300028
1014,293300041
1015,293400087
1016,293400119
1017,293400124
1018,293400126
1019,293400128
1020,293400131
1021,293400134
1022,293400143
1023,301000017
1024,301100001
1025,301100010
1026,301100012
1027,301100015
1028,301100019
1029,301800022
1030,301900015
1031,302500011
1032,303000120
1033,310700020
1034,312200007
1035,312500001
1036,010300136
1037,011100019
1038,011100030
1039,011100038
1040,011100039
1041,012800010
1042,013300030
1043,013300031
1044,013300032
1045,013700016
1046,014000063
1047,014400023
1048,014900006
1049,020100031
1050,020100036
1051,020100046
1052,020400081
1053,020400082
1054,020400260
1055,020600040
1056,020900046
1057,021500028
1058,021800015
1059,022300008
1060,022300026
1061,030400001
1062,030900023
1063,031300005
1064,031300010
1065,031300026
1066,032400030
1067,040400002
1068,040600074
1069,050100008
1070,050900001
1071,050900073
1072,050900074
1073,050900075
1074,050900082
1075,050900085
1076,051600022
1077,053700010
1078,060800029
1079,060800033
1080,061000096
1081,061000104
1082,061000105
1083,062100016
1084,062800011
1085,063200008
1086,072900055
1087,080300023
1088,080300024
1089,080300034
1090,081200042
1091,081500002
1092,081500012
1093,081500032
1094,081500040
1095,081500042
1096,081500055
1097,082700027
1098,082800083
1099,082800104
1100,091400008
1101,091400010
1102,091400012
1103,091400022
1104,091400074
1105,091500034
1106,091500057
1107,091500058
1108,091500063
1109,102900109
1110,104800019
1111,111800103
1112,113300003
1113,113600004
1114,120200018
1115,120700012
1116,121100007
1117,122400033
1118,122400043
1119,122900063
1120,122900075
1121,130800050
1122,130800052
1123,131900053
1124,131900091
1125,131900152
1126,131900205
1127,132900002
1128,132900023
1129,143200072
1130,152100010
1131,153700003
1132,162202002
1133,162202005
1134,162202044
1135,170700012
1136,171700026
1137,172800014
1138,174200012
1139,182600008
1140,182600011
1141,190400006
1142,190800005
1143,192700185
1144,192700186
1145,192700201
1146,192700207
1147,193300010
1148,193300017
1149,201500504
1150,201500509
1151,203100172
1152,203100185
1153,211100004
1154,211600013
1155,211600036
1156,212000120
1157,212000134
1158,212000164
1159,212000172
1160,212000178
1161,212000182
1162,212400016
1163,222700015
1164,223100057
1165,244606051
1166,244607070
1167,254611006
1168,254611058
1169,254611062
1170,254611063
1171,254611075
1172,260700015
1173,263900034
1174,270400022
1175,272400004
1176,272700034
1177,273100134
1178,273100135
1179,273100137
1180,273100138
1181,273100153
1182,273100170
1183,282200048
1184,282400023
1185,283500055
1186,283500090
1187,283500091
1188,283500092
1189,291100011
1190,291900008
1191,292900003
1192,293000025
1193,293300037
1194,293400120
1195,293400139
1196,301100013
1197,301900005
1198,301900006
1199,301900016
1200,302200027
1201,302500009
1202,303000102
1203,312600048
1204,013300043
1205,013300074
1206,013300075
1207,013300077
1208,020400080
1209,020600015
1210,020900018
1211,020900049
1212,022100010
1213,030601075
1214,030604308
1215,031300015
1216,031300021
1217,032400028
1218,042600015
1219,050900081
1220,061000090
1221,062000022
1222,080300016
1223,080300017
1224,080300033
1225,081200034
1226,081500006
1227,081500039
