,ACF HR LT
0,010200018
1,010300007
2,010300008
3,010300009
4,010300010
5,010300099
6,010300131
7,010300134
8,011100032
9,011100033
10,011100035
11,011100037
12,011300004
13,011300017
14,013300069
15,014000037
16,014000046
17,014000047
18,014200005
19,014200009
20,014200012
21,014200016
22,014400013
23,015200007
24,015200009
25,015300009
26,015300015
27,020100020
28,020100033
29,020100035
30,020100043
31,020100045
32,020100050
33,020400076
34,020400079
35,020400083
36,020400261
37,020400262
38,020400323
39,020600022
40,020600029
41,020600030
42,020800003
43,020800010
44,020800013
45,020800018
46,020800019
47,020900032
48,020900035
49,020900042
50,020900050
51,021300015
52,021500016
53,021500020
54,021500022
55,021500024
56,021500026
57,021500037
58,021700001
59,021700007
60,021700009
61,021700011
62,021700013
63,021700014
64,021700043
65,021700044
66,021800004
67,021800013
68,021800021
69,021800023
70,021800032
71,021800034
72,021800043
73,021800049
74,022300005
75,022300006
76,022300007
77,022300011
78,022300021
79,022300027
80,022300028
81,030100008
82,030100012
83,030100014
84,030200014
85,030200015
86,030200017
87,030200018
88,030200037
89,030600385
90,030602395
91,030602397
92,030604295
93,030604300
94,030605360
95,030605361
96,030800002
97,030900005
98,030900013
99,030900020
100,031300024
101,031300027
102,031600003
103,031600010
104,031600011
105,031600017
106,031600027
107,032400019
108,032400037
109,032400040
110,032400041
111,032600006
112,032600008
113,032600009
114,032600010
115,040400003
116,040400110
117,040400111
118,040400115
119,040400132
120,040400134
121,040600047
122,040600053
123,040600073
124,040600078
125,040600081
126,040600082
127,041300010
128,041300012
129,041300013
130,041300018
131,041300019
132,041300023
133,041300025
134,041300026
135,041300027
136,041400010
137,042200027
138,042200031
139,042200032
140,042200040
141,042800056
142,042800058
143,042800065
144,043100007
145,043100011
146,043200008
147,050100013
148,050100014
149,050100016
150,050100018
151,050900070
152,050900072
153,050900083
154,050900089
155,050900090
156,050900100
157,050900104
158,050900108
159,050900115
160,051600009
161,051600012
162,051600013
163,051600024
164,052200007
165,052200011
166,053000005
167,053300001
168,053300004
169,053300005
170,053700001
171,060500007
172,060800004
173,060800005
174,060800016
175,060800018
176,060800019
177,060800030
178,060800031
179,060800035
180,061000081
181,061000085
182,061000087
183,061000088
184,061000093
185,061000097
186,061000098
187,061000099
188,062000016
189,062100004
190,062100006
191,062100007
192,062100009
193,062100011
194,062700022
195,062700032
196,063200012
197,063500005
198,070500084
199,070500087
200,070500090
201,070500101
202,071200008
203,072900007
204,072900008
205,072900031
206,072900036
207,072900040
208,072900041
209,072900052
210,072900054
211,080300027
212,081200007
213,081200012
214,081200013
215,081200022
216,081200032
217,081200037
218,081200040
219,081200041
220,081200044
221,081500001
222,081500014
223,081500016
224,081500018
225,081500021
226,081500026
227,081500027
228,081500035
229,081500036
230,081500037
231,081500045
232,081500046
233,081500049
234,081500050
235,081500051
236,081500052
237,081500053
238,081500061
239,081500063
240,081500064
241,081700003
242,081700004
243,081700015
244,081700016
245,081700020
246,081700025
247,082000004
248,082000005
249,082000006
250,082000014
251,082000016
252,082700001
253,082700003
254,082700006
255,082700012
256,082700025
257,082700029
258,082700031
259,082800123
260,082800125
261,082900007
262,090200012
263,090200019
264,090200024
265,090200030
266,090200034
267,090800002
268,090800008
269,090800009
270,090800010
271,090800019
272,090800037
273,090800041
274,091400001
275,091400013
276,091400016
277,091400018
278,091400019
279,091400025
280,091400026
281,091400030
282,091400031
283,091400034
284,091400038
285,091400041
286,091400043
287,091400047
288,091400049
289,091400053
290,091400061
291,091400063
292,091400066
293,091400071
294,091500007
295,091500024
296,091500027
297,091500028
298,091500029
299,091500037
300,091500042
301,091500044
302,091500053
303,091500054
304,091500065
305,091500074
306,091600007
307,091600009
308,091600012
309,091600017
310,091600024
311,091600039
312,091600070
313,091600071
314,091600072
315,091600073
316,091600074
317,091600075
318,091600080
319,091600083
320,091600084
321,091600087
322,091600092
323,091600098
324,091600100
325,091600105
326,091600107
327,091600111
328,091600114
329,091600116
330,091600120
331,091600121
332,091600124
333,091600126
334,091600130
335,091600133
336,091600140
337,091600143
338,091600145
339,091600155
340,092100021
341,092100026
342,092100040
343,092100048
344,092100051
345,093500025
346,093500029
347,102700010
348,102900001
349,102900084
350,102900089
351,102900099
352,102900103
353,104800072
354,110200007
355,111800037
356,111800042
357,111800050
358,111800059
359,111800072
360,111800097
361,111800102
362,111800106
363,111900008
364,111900011
365,111900015
366,111900016
367,111900023
368,111900025
369,113300005
370,113300006
371,113400027
372,113400054
373,113400065
374,113400066
375,113600006
376,113600009
377,113600012
378,113600013
379,113800007
380,113800008
381,113800010
382,113800011
383,120200020
384,120200025
385,120200029
386,120400003
387,120400006
388,120400012
389,120400014
390,120700006
391,121100012
392,121100015
393,121100016
394,121100018
395,121100021
396,121200013
397,121200015
398,122400017
399,122400028
400,122400038
401,122400039
402,122400042
403,122400044
404,122400047
