,0
0,270700016
1,283500103
2,152400205
3,060800027
4,011300001
5,122400033
6,234610009
7,020100046
8,273100115
9,321180521
10,013300014
11,273600017
12,013700020
13,015300005
14,162202039
15,122400017
16,014200012
17,011100031
18,102900001
19,273100134
20,212000170
21,254618037
22,254612017
23,013700018
24,015300011
25,290900058
26,011300014
27,014200014
28,030604349
29,270400012
30,234602022
31,093500012
32,011300020
33,091600069
34,013700022
35,011300018
36,013700017
37,244606069
38,104800042
39,223100039
40,234615110
41,015300007
42,293300021
43,020100040
44,192700175
45,254612023
46,150800004
47,162202055
48,234602039
49,273100201
