,0
0,244607070
1,244607071
2,244607072
3,244607073
4,244607074
5,244607075
6,244607076
7,244607077
8,254611059
9,254611061
10,254611062
11,254611063
12,254611064
13,254611065
14,254611066
15,254611067
16,254611071
17,254611074
18,254619071
19,254619072
20,254619132
21,162204014
22,162204015
23,162204016
24,162204033
25,162204069
26,162202044
27,162202045
28,162202046
29,162202047
30,162202048
31,162202049
32,162202050
33,162202051
34,162202052
35,162202053
36,162202021
37,162202022
38,162202023
39,162202024
40,162202025
41,162202026
42,162202027
43,162202028
44,162202029
45,162202030
46,162202031
47,162202032
48,162202033
49,162202034
50,162202035
51,162202036
52,162202037
53,162202038
54,162202039
55,162202040
56,162202041
57,162202042
58,162202043
59,170100054
60,170100055
61,170100056
62,170100057
63,170100058
64,170100059
65,170100101
66,170100104
67,120200018
68,120200019
69,120200020
70,010300006
71,010300007
72,010300099
73,010300008
74,010300009
75,010300010
76,010300100
77,011100017
78,011100018
79,011100019
80,211600009
81,211600010
82,211600011
83,211600014
84,211600015
85,211600016
86,273100136
87,273100137
88,273100138
89,273100132
90,273100133
91,273100134
92,273100135
93,143200072
94,013300007
95,013300013
96,013300014
97,013300030
98,013300031
99,014000020
100,014000021
101,014000026
102,014000031
103,014000029
104,312600041
105,312600042
106,312600043
107,312600044
108,312600045
109,312600046
110,312600047
111,312600048
112,254611006
113,244606051
114,030603269
115,030603270
116,030603272
117,030603273
118,030603274
119,030603275
120,030603276
121,030601033
122,030601071
123,030601072
124,030601073
125,030601074
126,030601075
127,030601076
128,030601077
129,030601078
130,030601079
131,030601080
132,030601081
