,form,station no,mir,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО,РУСОФИЛИ ЗА ВЪЗРАЖДАНЕ НА ОТЕЧЕСТВОТО result,"ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ","ПАТРИОТИЧЕН ФРОНТ – НФСБ, БДС РАДИКАЛИ И БНДС ЦЕЛОКУПНА БЪЛГАРИЯ result",ВЪЗРАЖДАНЕ,ВЪЗРАЖДАНЕ result,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА,НАЦИОНАЛНО ОБЕДИНЕНИЕ НА ДЕСНИЦАТА result,БСДД – Български Съюз за Директна Демокрация,БСДД – Български Съюз за Директна Демокрация result,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА,БЪЛГАРСКА СОЦИАЛДЕМОКРАЦИЯ – ЕВРОЛЕВИЦА result,АТАКА,АТАКА result,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ,ПП ОБЩЕСТВО ЗА НОВА БЪЛГАРИЯ result,ПП ГЛАС НАРОДЕН,ПП ГЛАС НАРОДЕН result,Движение за права и свободи – ДПС,Движение за права и свободи – ДПС result,ПП ПРАВОТО,ПП ПРАВОТО result,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ,ВМРО – БЪЛГАРСКО НАЦИОНАЛНО ДВИЖЕНИЕ result,БНО,БНО result,ВОЛЯ,ВОЛЯ result,ПП ИМА ТАКЪВ НАРОД,ПП ИМА ТАКЪВ НАРОД result,Продължаваме Промяната,Продължаваме Промяната result,Партия МИР,Партия МИР result,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ,ПП БЛАГОДЕНСТВИЕ – ОБЕДИНЕНИЕ – ГРАДИВНОСТ result,Български национален съюз – НД,Български национален съюз – НД result,ПРЯКА ДЕМОКРАЦИЯ,ПРЯКА ДЕМОКРАЦИЯ result,"ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение)","ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България, ДСБ, Зелено движение) result",ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ!,ИЗПРАВИ СЕ БГ! НИЕ ИДВАМЕ! result,ГЕРБ-СДС,ГЕРБ-СДС result,БСП ЗА БЪЛГАРИЯ,БСП ЗА БЪЛГАРИЯ result,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ,БЪЛГАРСКА ПРОГРЕСИВНА ЛИНИЯ result,Партия на ЗЕЛЕНИТЕ,Партия на ЗЕЛЕНИТЕ result,БРИГАДА,БРИГАДА result,независим,независим result
0,32,010100001,1,2,1,4,1,5,3,7,1,8,0,10,2,11,2,13,3,14,1,17,0,20,0,21,1,22,0,23,3,24,18,25,54,26,1,27,0,28,0,29,0,30,5,31,7,32,40,33,23,34,0,35,1,36,0,37,0
1,32,010100001,1,2,2,4,1,5,7,7,1,8,2,10,1,11,0,13,0,14,1,17,0,20,0,21,1,22,1,23,1,24,19,25,52,26,0,27,0,28,0,29,0,30,5,31,4,32,44,33,19,34,0,35,1,36,0,37,0
2,32,010100002,1,2,0,4,0,5,3,7,1,8,0,10,0,11,1,13,0,14,1,17,0,20,0,21,0,22,0,23,0,24,18,25,57,26,0,27,0,28,0,29,0,30,6,31,2,32,42,33,17,34,0,35,0,36,0,37,0
3,32,010100002,1,2,0,4,1,5,9,7,0,8,0,10,0,11,1,13,0,14,1,17,0,20,1,21,5,22,1,23,2,24,13,25,35,26,0,27,0,28,0,29,0,30,14,31,4,32,55,33,11,34,0,35,0,36,0,37,0
4,32,010100003,1,2,2,4,1,5,5,7,0,8,1,10,0,11,3,13,0,14,1,17,1,20,1,21,5,22,1,23,2,24,35,25,49,26,5,27,0,28,0,29,0,30,12,31,5,32,80,33,28,34,1,35,0,36,0,37,0
5,32,010100004,1,2,1,4,1,5,3,7,1,8,0,10,1,11,0,13,2,14,1,17,0,20,0,21,1,22,0,23,1,24,11,25,61,26,1,27,0,28,0,29,0,30,9,31,5,32,56,33,24,34,1,35,1,36,0,37,0
6,32,010100004,1,2,1,4,0,5,2,7,1,8,0,10,1,11,0,13,1,14,0,17,0,20,0,21,0,22,0,23,0,24,13,25,45,26,0,27,0,28,0,29,0,30,6,31,2,32,48,33,22,34,0,35,1,36,0,37,0
7,32,010100005,1,2,1,4,0,5,10,7,2,8,0,10,0,11,0,13,0,14,3,17,2,20,1,21,5,22,0,23,14,24,22,25,88,26,0,27,0,28,0,29,1,30,14,31,10,32,68,33,20,34,1,35,2,36,0,37,0
8,32,010100006,1,2,0,4,0,5,12,7,1,8,0,10,2,11,2,13,4,14,3,17,0,20,1,21,2,22,1,23,12,24,29,25,74,26,0,27,1,28,0,29,0,30,14,31,8,32,70,33,23,34,0,35,0,36,0,37,0
9,32,010100007,1,2,1,4,0,5,6,7,0,8,0,10,0,11,0,13,0,14,0,17,0,20,2,21,0,22,0,23,1,24,23,25,31,26,0,27,1,28,0,29,0,30,8,31,0,32,60,33,25,34,1,35,0,36,0,37,0
10,32,010100007,1,2,0,4,1,5,8,7,1,8,0,10,1,11,0,13,0,14,3,17,0,20,0,21,2,22,0,23,3,24,16,25,35,26,0,27,0,28,0,29,0,30,4,31,4,32,51,33,17,34,0,35,0,36,0,37,0
11,32,010100008,1,2,0,4,2,5,22,7,2,8,0,10,3,11,0,13,1,14,2,17,1,20,2,21,3,22,0,23,5,24,23,25,75,26,0,27,0,28,0,29,0,30,12,31,6,32,74,33,27,34,0,35,1,36,0,37,0
12,32,010100009,1,2,0,4,0,5,6,7,2,8,0,10,2,11,3,13,2,14,3,17,0,20,1,21,4,22,0,23,12,24,40,25,77,26,0,27,1,28,0,29,0,30,12,31,4,32,91,33,16,34,0,35,0,36,0,37,0
13,32,010100010,1,2,1,4,3,5,14,7,0,8,1,10,0,11,1,13,3,14,3,17,2,20,2,21,5,22,0,23,5,24,26,25,99,26,1,27,1,28,0,29,0,30,23,31,9,32,86,33,18,34,0,35,0,36,0,37,0
14,32,010100011,1,2,1,4,2,5,7,7,2,8,1,10,1,11,2,13,0,14,1,17,7,20,1,21,1,22,0,23,2,24,29,25,23,26,1,27,0,28,0,29,1,30,5,31,7,32,77,33,16,34,0,35,0,36,2,37,0
15,32,010100012,1,2,0,4,1,5,7,7,0,8,1,10,3,11,1,13,1,14,2,17,0,20,1,21,3,22,0,23,5,24,29,25,46,26,0,27,0,28,0,29,0,30,8,31,3,32,48,33,25,34,1,35,0,36,0,37,0
16,32,010100012,1,2,1,4,1,5,4,7,0,8,1,10,1,11,0,13,1,14,1,17,0,20,0,21,2,22,0,23,4,24,26,25,40,26,2,27,0,28,0,29,0,30,2,31,2,32,41,33,17,34,0,35,0,36,0,37,0
17,32,010100013,1,2,0,4,1,5,12,7,4,8,2,10,2,11,1,13,0,14,2,17,1,20,1,21,3,22,0,23,11,24,26,25,76,26,0,27,0,28,0,29,0,30,10,31,1,32,50,33,21,34,0,35,0,36,0,37,0
18,32,010100013,1,2,1,4,0,5,7,7,1,8,1,10,1,11,2,13,0,14,1,17,1,20,0,21,2,22,0,23,4,24,27,25,52,26,0,27,1,28,0,29,0,30,5,31,8,32,58,33,21,34,0,35,0,36,0,37,0
19,32,010100014,1,2,0,4,1,5,6,7,0,8,0,10,2,11,1,13,1,14,0,17,0,20,0,21,1,22,0,23,2,24,34,25,23,26,1,27,0,28,0,29,0,30,6,31,16,32,45,33,18,34,0,35,1,36,0,37,0
20,32,010100014,1,2,2,4,0,5,3,7,0,8,0,10,0,11,0,13,2,14,0,17,0,20,1,21,0,22,1,23,1,24,38,25,40,26,0,27,1,28,0,29,0,30,11,31,13,32,55,33,15,34,0,35,1,36,1,37,0
21,32,010100015,1,2,0,4,0,5,1,7,0,8,1,10,0,11,1,13,0,14,0,17,0,20,0,21,1,22,0,23,0,24,10,25,28,26,0,27,0,28,0,29,0,30,5,31,3,32,47,33,20,34,0,35,0,36,0,37,0
22,32,010100015,1,2,0,4,0,5,4,7,1,8,0,10,1,11,3,13,1,14,3,17,1,20,0,21,0,22,0,23,0,24,18,25,27,26,0,27,0,28,0,29,0,30,4,31,3,32,58,33,22,34,0,35,0,36,0,37,0
23,32,010100016,1,2,0,4,0,5,12,7,1,8,1,10,3,11,2,13,0,14,0,17,2,20,0,21,1,22,1,23,0,24,17,25,34,26,0,27,0,28,0,29,0,30,16,31,6,32,48,33,58,34,0,35,0,36,0,37,0
24,27,010100017,1,2,0,4,0,5,0,7,0,8,0,10,0,11,0,13,0,14,0,17,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30,0,31,0,32,0,33,0,34,0,35,0,36,0,37,0
25,32,010100017,1,2,0,4,1,5,7,7,0,8,0,10,0,11,1,13,4,14,2,17,0,20,1,21,3,22,2,23,0,24,28,25,61,26,0,27,0,28,0,29,0,30,26,31,27,32,108,33,28,34,0,35,0,36,0,37,0
26,24,010100018,1,2,1,4,0,5,0,7,1,8,0,10,0,11,0,13,0,14,0,17,0,20,0,21,4,22,0,23,0,24,4,25,3,26,0,27,0,28,0,29,0,30,0,31,1,32,8,33,6,34,0,35,0,36,0,37,0
27,24,010100019,1,2,0,4,0,5,1,7,0,8,0,10,0,11,0,13,0,14,0,17,0,20,0,21,1,22,0,23,0,24,1,25,4,26,0,27,0,28,0,29,0,30,0,31,2,32,9,33,11,34,0,35,0,36,0,37,0
28,24,010100020,1,2,0,4,0,5,2,7,0,8,0,10,0,11,0,13,0,14,0,17,0,20,0,21,1,22,0,23,0,24,4,25,10,26,0,27,0,28,0,29,0,30,1,31,1,32,18,33,6,34,0,35,0,36,0,37,0
29,24,010100021,1,2,0,4,1,5,1,7,0,8,0,10,0,11,0,13,0,14,0,17,0,20,0,21,0,22,0,23,2,24,2,25,5,26,0,27,0,28,0,29,0,30,0,31,2,32,32,33,26,34,0,35,0,36,0,37,0
30,24,010100022,1,2,0,4,0,5,3,7,0,8,1,10,1,11,0,13,0,14,0,17,0,20,0,21,1,22,0,23,0,24,6,25,17,26,0,27,0,28,0,29,0,30,1,31,2,32,67,33,22,34,0,35,0,36,0,37,0
31,32,010100023,1,2,4,4,2,5,1,7,3,8,2,10,3,11,0,13,2,14,2,17,71,20,0,21,0,22,2,23,1,24,40,25,32,26,0,27,0,28,0,29,0,30,2,31,1,32,79,33,14,34,0,35,0,36,0,37,0
32,32,010200001,1,2,0,4,0,5,4,7,1,8,2,10,4,11,0,13,2,14,1,17,52,20,0,21,6,22,0,23,2,24,13,25,28,26,0,27,0,28,0,29,0,30,3,31,2,32,27,33,36,34,0,35,0,36,0,37,0
33,32,010200002,1,2,1,4,2,5,4,7,2,8,4,10,0,11,0,13,1,14,3,17,88,20,0,21,0,22,0,23,0,24,2,25,8,26,0,27,0,28,0,29,1,30,0,31,0,32,15,33,16,34,0,35,0,36,0,37,0
34,32,010200002,1,2,1,4,0,5,4,7,1,8,3,10,2,11,1,13,0,14,0,17,66,20,1,21,0,22,0,23,1,24,6,25,14,26,0,27,0,28,0,29,1,30,1,31,3,32,12,33,9,34,0,35,0,36,0,37,0
35,32,010200003,1,2,0,4,0,5,1,7,2,8,2,10,0,11,0,13,1,14,1,17,64,20,0,21,0,22,0,23,0,24,4,25,16,26,1,27,0,28,0,29,0,30,2,31,2,32,41,33,21,34,0,35,0,36,0,37,0
36,32,010200003,1,2,0,4,0,5,3,7,2,8,0,10,2,11,1,13,0,14,1,17,66,20,0,21,2,22,1,23,0,24,7,25,14,26,0,27,0,28,0,29,0,30,2,31,2,32,33,33,20,34,0,35,0,36,0,37,0
37,32,010200004,1,2,0,4,0,5,2,7,0,8,0,10,0,11,0,13,0,14,0,17,77,20,0,21,3,22,0,23,0,24,9,25,10,26,0,27,1,28,0,29,0,30,2,31,1,32,36,33,20,34,0,35,1,36,0,37,0
38,32,010200004,1,2,0,4,0,5,1,7,1,8,1,10,0,11,0,13,0,14,0,17,45,20,0,21,1,22,0,23,0,24,4,25,15,26,0,27,0,28,0,29,0,30,1,31,0,32,20,33,9,34,0,35,0,36,0,37,0
